cluster,merged
1,1
2,2
3,2
4,2
5,2
6,1
7,2
8,2
9,2
10,2
11,2
12,1
13,2
14,1
15,2
16,1
17,1
18,1
19,1
20,1
21,21
22,21
23,21
24,21
25,1
26,2
27,2
28,2
29,2
30,2
31,1
32,2
33,1
34,2
35,1
36,1
37,2
38,2
39,2
40,1
41,1
42,1
43,1
44,21
45,21
46,21
47,21
48,21
49,21
50,1
51,2
52,2
53,2
54,2
55,1
56,2
57,2
58,2
59,1
60,2
61,2
62,2
63,1
64,1
65,1
66,2
67,1
68,1
69,21
70,21
71,21
72,21
73,1
74,21
75,21
76,2
77,2
78,2
79,1
80,2
81,1
82,2
83,2
84,2
85,2
86,2
87,2
88,2
89,2
90,1
91,1
92,1
93,1
94,21
95,21
96,21
97,21
98,21
99,21
100,21
101,1
102,1
103,2
104,2
105,2
106,2
107,2
108,2
109,2
110,2
111,2
112,2
113,2
114,1
115,1
116,1
117,1
118,1
119,21
120,21
121,21
122,21
123,21
124,1
125,21
126,1
127,1
128,1
129,2
130,2
131,1
132,2
133,2
134,2
135,1
136,1
137,2
138,2
139,2
140,1
141,1
142,1
143,21
144,21
145,21
146,21
147,21
148,1
149,1
150,1
151,2
152,2
153,2
154,2
155,1
156,2
157,2
158,2
159,2
160,2
161,1
162,1
163,2
164,2
165,2
166,1
167,1
168,21
169,21
170,21
171,21
172,1
173,1
174,1
175,1
176,1
177,2
178,2
179,1
180,2
181,2
182,1
183,1
184,1
185,2
186,1
187,1
188,1
189,1
190,1
191,1
192,1
193,21
194,21
195,21
196,1
197,21
198,1
199,1
200,2
201,2
202,2
203,2
204,2
205,2
206,2
208,1
210,1
211,1
212,2
213,2
214,2
215,2
217,21
218,1
219,1
220,1
221,1
222,222
223,1
224,2
225,2
226,2
227,2
228,2
229,2
230,2
231,2
232,1
233,1
235,1
236,1
237,1
238,2
239,2
240,2
241,1
242,1
243,1
244,1
245,1
246,1
247,222
248,1
249,2
250,2
251,1
252,1
253,2
254,1
255,2
256,2
257,1
258,1
259,1
260,1
261,1
262,1
263,2
264,1
265,1
266,1
267,1
268,1
269,1
270,1
271,1
272,1
273,1
274,1
275,2
276,2
277,2
278,2
279,21
280,1
281,21
283,1
284,1
286,1
288,1
289,1
290,1
291,2
292,2
293,1
294,1
295,1
296,1
297,1
298,2
299,2
300,1
301,2
302,2
303,1
304,2
305,2
306,2
307,2
308,1
309,1
310,1
311,1
312,1
313,2
314,2
315,2
316,2
318,1
319,1
320,1
321,1
322,2
323,2
324,1
325,1
326,2
328,1
329,2
330,2
332,2
333,1
334,1
335,1
336,1
337,1
338,1
339,1
340,2
341,2
342,1
343,1
344,1
345,1
346,2
347,2
348,2
349,1
350,2
351,1
352,1
355,1
356,1
357,1
360,2
361,1
362,1
363,1
364,1
365,1
366,2
367,2
368,1
369,1
370,2
371,1
372,2
373,2
374,2
375,2
376,1
377,1
378,1
380,1
381,1
382,1
383,1
385,2
386,1
387,2
388,2
389,2
390,2
391,1
392,1
393,1
394,1
395,2
396,1
397,2
398,2
399,2
400,1
401,1
404,1
405,1
406,1
407,1
408,1
410,1
412,2
413,1
414,1
415,2
417,1
418,1
419,1
420,2
421,2
422,2
423,2
424,1
425,2
429,1
431,1
432,1
433,1
436,2
437,2
438,1
439,2
440,1
441,2
442,2
443,2
445,2
446,2
447,2
448,1
449,1
450,1
451,1
452,1
454,1
455,1
457,1
458,1
460,1
461,2
462,2
463,2
464,2
465,2
466,2
467,2
468,2
469,2
470,2
471,2
472,2
473,2
474,2
475,2
476,1
477,1
479,1
480,1
482,1
483,1
484,1
486,2
487,2
488,2
489,2
490,2
491,2
492,2
493,2
494,2
495,2
496,2
497,2
498,2
499,2
500,2
503,2
504,1
505,1
507,1
508,1
509,1
510,1
512,1
513,2
514,2
515,2
517,2
518,2
520,2
521,2
522,2
523,2
525,2
526,2
527,1
528,1
531,1
532,1
533,1
534,1
536,1
537,1
538,2
539,1
541,2
542,2
543,2
545,2
546,2
547,1
548,2
549,2
550,2
551,1
552,1
554,2
555,1
556,1
557,1
560,2
561,1
562,2
563,2
564,2
565,2
566,2
567,2
569,2
570,2
571,2
572,2
573,2
574,2
575,2
576,1
577,1
578,1
579,2
580,1
581,1
582,1
583,1
584,2
585,2
586,2
587,2
588,2
589,2
590,2
591,2
592,2
593,2
594,2
595,2
596,2
597,2
598,2
599,2
600,2
601,1
602,1
603,1
604,1
605,1
606,1
607,1
608,1
609,1
610,2
611,2
612,2
613,2
614,2
615,1
617,2
618,2
619,2
620,2
621,2
622,2
623,2
624,1
625,1
