method,cluster_distance,cluster_std,simple_precision,simple_recall,simple_f1,simple_accuracy,extended_precision,extended_recall,extended_f1,extended_accuracy,precision_ratio,recall_ratio,f1_ratio,accuracy_ratio
SOM,0.0,0.2,0.5372549019607843,0.548,0.5425742574257426,0.538,0.5091240875912408,0.558,0.5324427480916031,0.51,0.947639725078587,1.0182481751824817,0.981326962723575,0.9479553903345724
K-Means (Exclusive),0.0,0.2,0.5143953934740882,0.536,0.524975514201763,0.515,0.4936708860759494,0.468,0.4804928131416838,0.494,0.9597109389760061,0.8731343283582089,0.9152670936896625,0.9592233009708737
DBSCAN (Density),0.0,0.2,0.5,0.014,0.027237354085603113,0.5,0.5,1.0,0.6666666666666666,0.5,1.0,71.42857142857143,24.476190476190474,1.0
Agglomerative (Hierarchical),0.0,0.2,0.5,0.616,0.5519713261648745,0.5,0.5150812064965197,0.444,0.47690655209452204,0.513,1.0301624129930393,0.7207792207792209,0.8640060261972186,1.026
GMM (Probabilistic),0.0,0.2,0.518796992481203,0.552,0.5348837209302325,0.52,0.5010266940451745,0.488,0.49442755825734547,0.501,0.9657471059131625,0.8840579710144927,0.924364565437646,0.9634615384615385
SOM,0.0,0.30000000000000004,0.4900662251655629,0.444,0.46589716684155297,0.491,0.4981132075471698,0.528,0.512621359223301,0.498,1.0164201937786843,1.1891891891891893,1.100288638152716,1.014256619144603
K-Means (Exclusive),0.0,0.30000000000000004,0.474,0.474,0.474,0.474,0.504149377593361,0.486,0.49490835030549896,0.504,1.0636062818425338,1.0253164556962024,1.0441104436824873,1.0632911392405064
DBSCAN (Density),0.0,0.30000000000000004,0.5,0.012,0.0234375,0.5,0.5,1.0,0.6666666666666666,0.5,1.0,83.33333333333333,28.444444444444443,1.0
Agglomerative (Hierarchical),0.0,0.30000000000000004,0.5041322314049587,0.488,0.4959349593495935,0.504,0.5179063360881543,0.376,0.43568945538818077,0.513,1.0273224043715847,0.7704918032786885,0.8785213608646925,1.0178571428571428
GMM (Probabilistic),0.0,0.30000000000000004,0.48526522593320237,0.494,0.489593657086224,0.485,0.5064935064935064,0.468,0.4864864864864865,0.506,1.043745727956254,0.9473684210526316,0.9936535726009411,1.043298969072165
SOM,0.0,0.4000000000000001,0.5055762081784386,0.544,0.5240847784200385,0.506,0.5249500998003992,0.526,0.5254745254745254,0.525,1.0383204179875543,0.9669117647058824,1.0026517600047011,1.0375494071146245
K-Means (Exclusive),0.0,0.4000000000000001,0.49221789883268485,0.506,0.4990138067061144,0.492,0.49209932279909707,0.436,0.4623541887592789,0.493,0.9997590984930272,0.8616600790513834,0.9265358644306498,1.0020325203252032
DBSCAN (Density),0.0,0.4000000000000001,0.35,0.014,0.026923076923076925,0.494,0.5010060362173038,0.996,0.6666666666666666,0.502,1.4314458177637253,71.14285714285714,24.76190476190476,1.0161943319838056
Agglomerative (Hierarchical),0.0,0.4000000000000001,0.49081364829396323,0.374,0.4245175936435868,0.493,0.5,0.52,0.5098039215686274,0.5,1.018716577540107,1.3903743315508021,1.2009017510747615,1.0141987829614605
GMM (Probabilistic),0.0,0.4000000000000001,0.4952741020793951,0.524,0.5092322643343051,0.495,0.47890818858560796,0.386,0.4274640088593577,0.483,0.9669558464190329,0.7366412213740458,0.8394283685425173,0.9757575757575757
SOM,0.0,0.5000000000000001,0.4962962962962963,0.536,0.5153846153846153,0.496,0.5198487712665406,0.55,0.5344995140913509,0.521,1.0474564794176564,1.0261194029850746,1.0370886094309795,1.0504032258064517
K-Means (Exclusive),0.0,0.5000000000000001,0.49356223175965663,0.46,0.47619047619047616,0.494,0.5079681274900398,0.51,0.5089820359281437,0.508,1.0291875974363416,1.108695652173913,1.068862275449102,1.0283400809716599
DBSCAN (Density),0.0,0.5000000000000001,0.4,0.012,0.02330097087378641,0.497,0.5005025125628141,0.996,0.6662207357859532,0.501,1.2512562814070352,83.0,28.59197324414716,1.0080482897384306
Agglomerative (Hierarchical),0.0,0.5000000000000001,0.5230202578268877,0.568,0.5445829338446788,0.525,0.48717948717948717,0.304,0.37438423645320196,0.492,0.9314734561213435,0.5352112676056339,0.6874696454589606,0.937142857142857
GMM (Probabilistic),0.0,0.5000000000000001,0.4928909952606635,0.416,0.4511930585683297,0.494,0.5070140280561122,0.506,0.5065065065065065,0.507,1.0286534607676892,1.216346153846154,1.1225937475937477,1.0263157894736843
SOM,0.0,0.6000000000000001,0.52,0.546,0.5326829268292683,0.521,0.5030674846625767,0.492,0.4974721941354904,0.503,0.9674374705049551,0.901098901098901,0.9338992655473949,0.965451055662188
K-Means (Exclusive),0.0,0.6000000000000001,0.5204918032786885,0.508,0.5141700404858299,0.52,0.5056390977443609,0.538,0.5213178294573644,0.506,0.9714640933041265,1.0590551181102363,1.0139016053225907,0.9730769230769231
DBSCAN (Density),0.0,0.6000000000000001,0.4444444444444444,0.008,0.015717092337917484,0.499,0.5,1.0,0.6666666666666666,0.5,1.125,125.0,42.416666666666664,1.002004008016032
Agglomerative (Hierarchical),0.0,0.6000000000000001,0.4793713163064833,0.488,0.4836471754212091,0.479,0.4967032967032967,0.452,0.4732984293193717,0.497,1.0361556476310576,0.9262295081967213,0.9786026950476354,1.037578288100209
GMM (Probabilistic),0.0,0.6000000000000001,0.5178947368421053,0.492,0.5046153846153846,0.517,0.506398537477148,0.554,0.5291308500477555,0.507,0.9778020540717288,1.1260162601626018,1.048582477228784,0.9806576402321083
SOM,0.0,0.7000000000000002,0.49075975359342916,0.478,0.48429584599797365,0.491,0.5,0.47,0.4845360824742268,0.5,1.0188284518828452,0.9832635983263598,1.0004960531423888,1.0183299389002036
K-Means (Exclusive),0.0,0.7000000000000002,0.48255813953488375,0.498,0.49015748031496065,0.482,0.5031055900621118,0.486,0.49440488301119023,0.503,1.0425802589238942,0.9759036144578314,1.0086653838139945,1.0435684647302905
DBSCAN (Density),0.0,0.7000000000000002,0.6153846153846154,0.016,0.031189083820662766,0.503,0.501010101010101,0.992,0.6657718120805369,0.502,0.814141414141414,62.0,21.346308724832216,0.9980119284294234
Agglomerative (Hierarchical),0.0,0.7000000000000002,0.5368421052631579,0.306,0.38980891719745225,0.521,0.4934640522875817,0.302,0.3746898263027295,0.496,0.9191977444572601,0.9869281045751633,0.9612140968877211,0.9520153550863724
GMM (Probabilistic),0.0,0.7000000000000002,0.4894837476099426,0.512,0.5004887585532747,0.489,0.49696969696969695,0.492,0.49447236180904525,0.497,1.0152935606060607,0.9609375,0.9879789572864323,1.016359918200409
SOM,0.0,0.8000000000000003,0.5096899224806202,0.526,0.5177165354330708,0.51,0.5113122171945701,0.452,0.47983014861995754,0.51,1.003182905218244,0.8593155893536122,0.9268202110225796,1.0
K-Means (Exclusive),0.0,0.8000000000000003,0.502868068833652,0.526,0.5141739980449658,0.503,0.509469696969697,0.538,0.5233463035019456,0.51,1.0131279525290933,1.0228136882129277,1.0178389134648105,1.0139165009940359
DBSCAN (Density),0.0,0.8000000000000003,0.6363636363636364,0.014,0.0273972602739726,0.503,0.5,1.0,0.6666666666666666,0.5,0.7857142857142857,71.42857142857143,24.333333333333332,0.9940357852882704
Agglomerative (Hierarchical),0.0,0.8000000000000003,0.45722713864306785,0.31,0.3694874851013111,0.471,0.5031446540880503,0.16,0.24279210925644917,0.501,1.1004260499087035,0.5161290322580645,0.6571050956972931,1.0636942675159236
GMM (Probabilistic),0.0,0.8000000000000003,0.5009041591320073,0.554,0.5261158594491928,0.501,0.5027322404371585,0.552,0.5262154432793136,0.503,1.0036495630388036,0.9963898916967509,1.000189281178912,1.003992015968064
SOM,0.5,0.2,0.2674772036474164,0.176,0.21230398069963813,0.347,0.45454545454545453,0.41,0.43112513144058884,0.459,1.6993801652892562,2.3295454545454546,2.0306973520695917,1.3227665706051874
K-Means (Exclusive),0.5,0.2,0.9645669291338582,0.98,0.9722222222222222,0.972,0.4788732394366197,0.476,0.477432296890672,0.479,0.49646450129347514,0.4857142857142857,0.49107321965897693,0.492798353909465
DBSCAN (Density),0.5,0.2,0.6666666666666666,0.004,0.007952286282306162,0.501,0.49748743718592964,0.99,0.6622073578595318,0.495,0.7462311557788945,247.5,83.27257525083613,0.9880239520958084
Agglomerative (Hierarchical),0.5,0.2,0.011013215859030838,0.01,0.010482180293501049,0.056,0.4577319587628866,0.444,0.45076142131979696,0.459,41.5620618556701,44.4,43.002639593908626,8.196428571428571
GMM (Probabilistic),0.5,0.2,0.958904109589041,0.98,0.9693372898120672,0.969,0.5323886639676113,0.526,0.5291750503018109,0.532,0.5552053209947947,0.536734693877551,0.5459142610766641,0.5490196078431373
