cluster_distance,cluster_std,simple_precision,simple_recall,simple_f1,simple_accuracy,extended_precision,extended_recall,extended_f1,extended_accuracy,precision_ratio,recall_ratio,f1_ratio,accuracy_ratio
0.0,0.2,0.608,0.632,0.62,0.612,0.587,0.692,0.635,0.603,0.967,1.095,1.026,0.985
0.0,0.3,0.601,0.674,0.635,0.613,0.604,0.75,0.669,0.629,1.005,1.113,1.053,1.026
0.0,0.4,0.597,0.73,0.657,0.619,0.606,0.646,0.625,0.613,1.014,0.885,0.952,0.99
0.0,0.5,0.633,0.586,0.609,0.623,0.593,0.696,0.64,0.609,0.937,1.188,1.052,0.978
0.0,0.6,0.604,0.632,0.618,0.609,0.613,0.718,0.661,0.632,1.014,1.136,1.07,1.038
0.0,0.7,0.611,0.662,0.635,0.62,0.59,0.698,0.639,0.606,0.965,1.054,1.006,0.977
0.0,0.8,0.621,0.64,0.631,0.625,0.598,0.626,0.612,0.603,0.963,0.978,0.97,0.965
0.5,0.2,0.903,0.93,0.916,0.915,0.751,0.78,0.765,0.761,0.832,0.839,0.835,0.832
0.5,0.3,0.804,0.838,0.821,0.817,0.747,0.79,0.768,0.761,0.928,0.943,0.935,0.931
0.5,0.4,0.743,0.788,0.765,0.758,0.694,0.734,0.713,0.705,0.933,0.931,0.932,0.93
0.5,0.5,0.693,0.802,0.743,0.723,0.683,0.738,0.71,0.698,0.987,0.92,0.955,0.965
0.5,0.6,0.671,0.758,0.712,0.693,0.673,0.762,0.715,0.696,1.004,1.005,1.004,1.004
0.5,0.7,0.663,0.784,0.719,0.693,0.665,0.734,0.698,0.682,1.002,0.936,0.971,0.984
0.5,0.8,0.651,0.762,0.702,0.677,0.643,0.798,0.712,0.677,0.987,1.047,1.014,1.0
1.0,0.2,0.988,0.996,0.992,0.992,0.957,0.932,0.944,0.945,0.968,0.936,0.952,0.953
1.0,0.3,0.924,0.974,0.948,0.947,0.897,0.902,0.899,0.899,0.97,0.926,0.948,0.949
1.0,0.4,0.905,0.916,0.911,0.91,0.861,0.864,0.862,0.862,0.951,0.943,0.947,0.947
1.0,0.5,0.839,0.864,0.851,0.849,0.785,0.892,0.835,0.824,0.936,1.032,0.981,0.971
1.0,0.6,0.834,0.766,0.799,0.807,0.772,0.798,0.785,0.781,0.925,1.042,0.982,0.968
1.0,0.7,0.734,0.804,0.767,0.756,0.73,0.752,0.741,0.737,0.995,0.935,0.966,0.975
1.0,0.8,0.733,0.758,0.745,0.741,0.726,0.786,0.755,0.745,0.991,1.037,1.013,1.005
1.5,0.2,0.998,1.0,0.999,0.999,0.998,0.996,0.997,0.997,1.0,0.996,0.998,0.998
1.5,0.3,0.994,0.996,0.995,0.995,0.969,0.988,0.978,0.978,0.974,0.992,0.983,0.983
1.5,0.4,0.978,0.972,0.975,0.975,0.955,0.94,0.948,0.948,0.977,0.967,0.972,0.972
1.5,0.5,0.939,0.95,0.944,0.944,0.895,0.934,0.914,0.912,0.953,0.983,0.968,0.966
1.5,0.6,0.852,0.952,0.899,0.893,0.857,0.886,0.871,0.869,1.006,0.931,0.969,0.973
1.5,0.7,0.861,0.858,0.86,0.86,0.858,0.858,0.858,0.858,0.996,1.0,0.998,0.998
1.5,0.8,0.851,0.868,0.859,0.858,0.82,0.858,0.839,0.835,0.964,0.988,0.976,0.973
2.0,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2.0,0.3,1.0,1.0,1.0,1.0,0.992,0.998,0.995,0.995,0.992,0.998,0.995,0.995
2.0,0.4,0.988,0.998,0.993,0.993,0.965,0.992,0.978,0.978,0.977,0.994,0.985,0.985
2.0,0.5,0.972,0.984,0.978,0.978,0.97,0.964,0.967,0.967,0.997,0.98,0.989,0.989
2.0,0.6,0.956,0.962,0.959,0.959,0.941,0.954,0.947,0.947,0.984,0.992,0.988,0.987
2.0,0.7,0.923,0.934,0.928,0.928,0.878,0.948,0.912,0.908,0.951,1.015,0.982,0.978
2.0,0.8,0.911,0.916,0.913,0.913,0.873,0.906,0.889,0.887,0.959,0.989,0.974,0.972
2.5,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2.5,0.3,1.0,1.0,1.0,1.0,0.996,1.0,0.998,0.998,0.996,1.0,0.998,0.998
2.5,0.4,1.0,1.0,1.0,1.0,0.994,1.0,0.997,0.997,0.994,1.0,0.997,0.997
2.5,0.5,0.994,0.99,0.992,0.992,0.973,0.994,0.983,0.983,0.978,1.004,0.991,0.991
2.5,0.6,0.974,0.988,0.981,0.981,0.976,0.988,0.982,0.982,1.002,1.0,1.001,1.001
2.5,0.7,0.943,0.968,0.956,0.955,0.927,0.97,0.948,0.947,0.983,1.002,0.992,0.992
2.5,0.8,0.947,0.934,0.941,0.941,0.926,0.93,0.928,0.928,0.978,0.996,0.987,0.986
3.0,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3.0,0.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3.0,0.4,1.0,1.0,1.0,1.0,1.0,0.998,0.999,0.999,1.0,0.998,0.999,0.999
3.0,0.5,0.998,0.998,0.998,0.998,0.99,1.0,0.995,0.995,0.992,1.002,0.997,0.997
3.0,0.6,0.994,0.998,0.996,0.996,0.988,0.992,0.99,0.99,0.994,0.994,0.994,0.994
3.0,0.7,0.982,0.992,0.987,0.987,0.972,0.988,0.98,0.98,0.99,0.996,0.993,0.993
3.0,0.8,0.961,0.974,0.967,0.967,0.956,0.966,0.961,0.961,0.996,0.992,0.994,0.994
3.5,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3.5,0.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3.5,0.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3.5,0.6,0.998,0.998,0.998,0.998,0.994,0.998,0.996,0.996,0.996,1.0,0.998,0.998
3.5,0.7,0.998,1.0,0.999,0.999,1.0,0.992,0.996,0.996,1.002,0.992,0.997,0.997
3.5,0.8,0.978,0.99,0.984,0.984,0.984,0.988,0.986,0.986,1.006,0.998,1.002,1.002
