method,cluster_distance,cluster_std,simple_precision,simple_recall,simple_f1,simple_accuracy,extended_precision,extended_recall,extended_f1,extended_accuracy,precision_ratio,recall_ratio,f1_ratio,accuracy_ratio
SOM,0.0,0.2,0.49191685912240185,0.426,0.4565916398713826,0.493,0.48484848484848486,0.48,0.4824120603015075,0.485,0.9856309574619434,1.1267605633802817,1.0565503574209074,0.9837728194726166
K-Means (Exclusive),0.0,0.2,0.47784200385356457,0.496,0.4867517173699706,0.477,0.48627450980392156,0.496,0.4910891089108911,0.486,1.0176470588235293,1.0,1.008910891089109,1.0188679245283019
DBSCAN (Density),0.0,0.2,0.5,0.012,0.0234375,0.5,0.5,1.0,0.6666666666666666,0.5,1.0,83.33333333333333,28.444444444444443,1.0
Agglomerative (Hierarchical),0.0,0.2,0.5084388185654009,0.482,0.4948665297741273,0.508,0.44285714285714284,0.186,0.2619718309859155,0.476,0.8710136336692352,0.38589211618257263,0.5293787621997545,0.9370078740157479
GMM (Probabilistic),0.0,0.2,0.4819047619047619,0.506,0.49365853658536585,0.481,0.49183673469387756,0.482,0.4868686868686869,0.492,1.0206098249576512,0.9525691699604742,0.9862458577873598,1.022869022869023
SOM,0.0,0.30000000000000004,0.4977973568281938,0.452,0.47379454926624737,0.498,0.49195402298850577,0.428,0.4577540106951872,0.493,0.9882616214016886,0.9469026548672566,0.966144526998249,0.9899598393574297
K-Means (Exclusive),0.0,0.30000000000000004,0.49230769230769234,0.512,0.5019607843137255,0.492,0.5168776371308017,0.49,0.5030800821355236,0.516,1.0499077004219408,0.95703125,1.0022298511293635,1.048780487804878
DBSCAN (Density),0.0,0.30000000000000004,0.5625,0.018,0.03488372093023256,0.502,0.5,1.0,0.6666666666666666,0.5,0.8888888888888888,55.55555555555556,19.11111111111111,0.9960159362549801
Agglomerative (Hierarchical),0.0,0.30000000000000004,0.4809688581314879,0.278,0.3523447401774398,0.489,0.5148247978436657,0.382,0.43857634902411025,0.511,1.0703911264519381,1.3741007194244603,1.2447364725900107,1.0449897750511248
GMM (Probabilistic),0.0,0.30000000000000004,0.4962686567164179,0.532,0.5135135135135135,0.496,0.5219298245614035,0.476,0.497907949790795,0.52,1.051708217913204,0.894736842105263,0.9696102180136534,1.0483870967741935
SOM,0.0,0.4000000000000001,0.48554913294797686,0.504,0.4946025515210991,0.485,0.508411214953271,0.544,0.5256038647342995,0.509,1.0470850022251892,1.0793650793650795,1.0626792423893874,1.0494845360824743
K-Means (Exclusive),0.0,0.4000000000000001,0.4887525562372188,0.478,0.4833164812942366,0.489,0.5238095238095238,0.55,0.5365853658536586,0.525,1.0717274357441722,1.1506276150627617,1.1102153280947036,1.0736196319018405
