cluster_distance,cluster_std,simple_precision,simple_recall,simple_f1,simple_accuracy,extended_precision,extended_recall,extended_f1,extended_accuracy,precision_ratio,recall_ratio,f1_ratio,accuracy_ratio
0.0,0.2,0.605,0.65,0.627,0.613,0.606,0.71,0.654,0.624,1.001,1.092,1.043,1.018
0.0,0.3,0.6,0.662,0.629,0.61,0.605,0.712,0.654,0.624,1.01,1.076,1.04,1.023
0.0,0.4,0.592,0.718,0.649,0.612,0.622,0.67,0.645,0.631,1.049,0.933,0.993,1.031
0.0,0.5,0.613,0.652,0.632,0.62,0.587,0.702,0.639,0.604,0.958,1.077,1.012,0.974
0.0,0.6,0.591,0.75,0.661,0.615,0.597,0.754,0.667,0.623,1.012,1.005,1.009,1.013
0.0,0.7,0.616,0.612,0.614,0.615,0.586,0.746,0.657,0.61,0.953,1.219,1.07,0.992
0.0,0.8,0.616,0.688,0.65,0.63,0.615,0.658,0.636,0.623,0.998,0.956,0.978,0.989
0.5,0.2,0.911,0.916,0.913,0.913,0.782,0.84,0.81,0.803,0.859,0.917,0.887,0.88
0.5,0.3,0.812,0.818,0.815,0.814,0.724,0.802,0.761,0.748,0.892,0.98,0.934,0.919
0.5,0.4,0.78,0.774,0.777,0.778,0.717,0.832,0.77,0.752,0.919,1.075,0.991,0.967
0.5,0.5,0.693,0.778,0.733,0.717,0.672,0.782,0.723,0.7,0.969,1.005,0.986,0.976
0.5,0.6,0.683,0.734,0.708,0.697,0.689,0.69,0.689,0.689,1.008,0.94,0.974,0.989
0.5,0.7,0.667,0.754,0.708,0.689,0.656,0.724,0.688,0.672,0.983,0.96,0.972,0.975
0.5,0.8,0.672,0.726,0.698,0.686,0.653,0.778,0.71,0.682,0.971,1.072,1.017,0.994
1.0,0.2,0.994,0.998,0.996,0.996,0.932,0.966,0.949,0.948,0.938,0.968,0.953,0.952
1.0,0.3,0.956,0.966,0.961,0.961,0.883,0.934,0.908,0.905,0.923,0.967,0.944,0.942
1.0,0.4,0.914,0.888,0.901,0.902,0.831,0.886,0.858,0.853,0.91,0.998,0.952,0.946
1.0,0.5,0.808,0.884,0.844,0.837,0.809,0.79,0.8,0.802,1.002,0.894,0.947,0.958
1.0,0.6,0.797,0.834,0.815,0.811,0.747,0.838,0.79,0.777,0.937,1.005,0.969,0.958
1.0,0.7,0.769,0.81,0.789,0.783,0.759,0.78,0.769,0.766,0.987,0.963,0.975,0.978
1.0,0.8,0.739,0.798,0.767,0.758,0.736,0.774,0.754,0.748,0.996,0.97,0.983,0.987
1.5,0.2,1.0,1.0,1.0,1.0,0.99,0.992,0.991,0.991,0.99,0.992,0.991,0.991
1.5,0.3,0.994,0.992,0.993,0.993,0.965,0.98,0.972,0.972,0.97,0.988,0.979,0.979
1.5,0.4,0.976,0.972,0.974,0.974,0.924,0.972,0.947,0.946,0.947,1.0,0.973,0.971
1.5,0.5,0.934,0.958,0.946,0.945,0.91,0.926,0.918,0.917,0.974,0.967,0.97,0.97
1.5,0.6,0.879,0.934,0.906,0.903,0.889,0.898,0.894,0.893,1.011,0.961,0.986,0.989
1.5,0.7,0.857,0.866,0.862,0.861,0.82,0.876,0.847,0.842,0.957,1.012,0.983,0.978
1.5,0.8,0.82,0.872,0.845,0.84,0.796,0.852,0.823,0.817,0.972,0.977,0.974,0.973
2.0,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2.0,0.3,0.998,1.0,0.999,0.999,0.994,0.998,0.996,0.996,0.996,0.998,0.997,0.997
