cluster_distance,cluster_std,simple_precision,simple_recall,simple_f1,simple_accuracy,extended_precision,extended_recall,extended_f1,extended_accuracy,precision_ratio,recall_ratio,f1_ratio,accuracy_ratio
0.0,0.2,0.606,0.68,0.641,0.619,0.611,0.648,0.629,0.618,1.009,0.953,0.982,0.998
0.0,0.3,0.595,0.704,0.645,0.612,0.593,0.668,0.628,0.605,0.998,0.949,0.975,0.989
0.0,0.4,0.613,0.652,0.632,0.62,0.604,0.664,0.632,0.614,0.985,1.018,1.001,0.99
0.0,0.5,0.623,0.606,0.615,0.62,0.594,0.7,0.643,0.611,0.953,1.155,1.046,0.985
0.0,0.6,0.594,0.71,0.647,0.612,0.59,0.744,0.658,0.613,0.993,1.048,1.017,1.002
0.0,0.7,0.591,0.722,0.65,0.611,0.612,0.692,0.65,0.627,1.036,0.958,1.0,1.026
0.0,0.8,0.607,0.704,0.652,0.624,0.615,0.608,0.612,0.614,1.014,0.864,0.938,0.984
0.5,0.2,0.909,0.92,0.915,0.914,0.805,0.742,0.772,0.781,0.885,0.807,0.844,0.854
0.5,0.3,0.77,0.858,0.812,0.801,0.722,0.79,0.755,0.743,0.938,0.921,0.93,0.928
0.5,0.4,0.756,0.81,0.782,0.774,0.715,0.736,0.725,0.721,0.946,0.909,0.927,0.932
0.5,0.5,0.727,0.766,0.746,0.739,0.686,0.73,0.707,0.698,0.944,0.953,0.948,0.945
0.5,0.6,0.719,0.762,0.74,0.732,0.678,0.788,0.729,0.707,0.943,1.034,0.985,0.966
0.5,0.7,0.684,0.706,0.695,0.69,0.664,0.752,0.705,0.686,0.971,1.065,1.015,0.994
0.5,0.8,0.669,0.71,0.689,0.679,0.659,0.7,0.679,0.669,0.986,0.986,0.986,0.985
1.0,0.2,0.998,0.992,0.995,0.995,0.951,0.968,0.959,0.959,0.953,0.976,0.964,0.964
1.0,0.3,0.951,0.97,0.96,0.96,0.907,0.9,0.904,0.904,0.954,0.928,0.941,0.942
1.0,0.4,0.891,0.914,0.902,0.901,0.864,0.878,0.871,0.87,0.97,0.961,0.965,0.966
1.0,0.5,0.833,0.89,0.861,0.856,0.802,0.844,0.823,0.818,0.963,0.948,0.956,0.956
1.0,0.6,0.794,0.816,0.805,0.802,0.78,0.81,0.795,0.791,0.983,0.993,0.988,0.986
1.0,0.7,0.78,0.816,0.798,0.793,0.742,0.822,0.78,0.768,0.951,1.007,0.978,0.968
1.0,0.8,0.764,0.778,0.771,0.769,0.753,0.77,0.762,0.759,0.986,0.99,0.988,0.987
1.5,0.2,1.0,1.0,1.0,1.0,0.988,0.994,0.991,0.991,0.988,0.994,0.991,0.991
1.5,0.3,0.998,0.994,0.996,0.996,0.974,0.986,0.98,0.98,0.976,0.992,0.984,0.984
1.5,0.4,0.98,0.97,0.975,0.975,0.947,0.972,0.96,0.959,0.967,1.002,0.984,0.984
1.5,0.5,0.943,0.932,0.938,0.938,0.902,0.936,0.919,0.917,0.956,1.004,0.98,0.978
1.5,0.6,0.892,0.912,0.902,0.901,0.849,0.932,0.888,0.883,0.951,1.022,0.985,0.98
1.5,0.7,0.847,0.894,0.87,0.866,0.822,0.916,0.867,0.859,0.971,1.025,0.996,0.992
1.5,0.8,0.814,0.85,0.832,0.828,0.78,0.87,0.822,0.812,0.957,1.024,0.989,0.981
2.0,0.2,1.0,1.0,1.0,1.0,0.998,1.0,0.999,0.999,0.998,1.0,0.999,0.999
2.0,0.3,1.0,1.0,1.0,1.0,0.998,1.0,0.999,0.999,0.998,1.0,0.999,0.999
2.0,0.4,0.99,0.998,0.994,0.994,0.998,0.982,0.99,0.99,1.008,0.984,0.996,0.996
2.0,0.5,0.982,0.982,0.982,0.982,0.978,0.966,0.972,0.972,0.996,0.984,0.99,0.99
2.0,0.6,0.947,0.96,0.953,0.953,0.903,0.952,0.927,0.925,0.954,0.992,0.972,0.971
2.0,0.7,0.906,0.924,0.915,0.914,0.884,0.928,0.905,0.903,0.976,1.004,0.99,0.988
2.0,0.8,0.903,0.928,0.915,0.914,0.871,0.918,0.894,0.891,0.965,0.989,0.977,0.975
2.5,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2.5,0.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2.5,0.4,1.0,1.0,1.0,1.0,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996
2.5,0.5,0.994,0.998,0.996,0.996,0.984,0.998,0.991,0.991,0.99,1.0,0.995,0.995
2.5,0.6,0.99,0.984,0.987,0.987,0.978,0.98,0.979,0.979,0.988,0.996,0.992,0.992
2.5,0.7,0.959,0.976,0.967,0.967,0.937,0.976,0.956,0.955,0.977,1.0,0.988,0.988
2.5,0.8,0.952,0.92,0.936,0.937,0.948,0.92,0.934,0.935,0.996,1.0,0.998,0.998
3.0,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3.0,0.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3.0,0.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3.0,0.5,1.0,1.0,1.0,1.0,0.994,0.998,0.996,0.996,0.994,0.998,0.996,0.996
3.0,0.6,0.994,0.994,0.994,0.994,0.988,0.994,0.991,0.991,0.994,1.0,0.997,0.997
3.0,0.7,0.99,0.988,0.989,0.989,0.982,0.972,0.977,0.977,0.992,0.984,0.988,0.988
3.0,0.8,0.966,0.978,0.972,0.972,0.96,0.972,0.966,0.966,0.994,0.994,0.994,0.994
3.5,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
