method,cluster_distance,cluster_std,simple_precision,simple_recall,simple_f1,simple_accuracy,extended_precision,extended_recall,extended_f1,extended_accuracy,precision_ratio,recall_ratio,f1_ratio,accuracy_ratio
SOM,0.0,0.2,0.5219206680584552,0.5,0.5107252298263534,0.521,0.5011286681715575,0.444,0.4708377518557794,0.501,0.9601625282167042,0.888,0.9219003181336162,0.9616122840690978
K-Means (Exclusive),0.0,0.2,0.5009940357852882,0.504,0.5024925224327019,0.501,0.5,0.496,0.4979919678714859,0.5,0.9980158730158731,0.9841269841269841,0.9910435392363102,0.998003992015968
DBSCAN (Density),0.0,0.2,0.3076923076923077,0.008,0.015594541910331383,0.495,0.5,1.0,0.6666666666666666,0.5,1.625,125.0,42.75,1.0101010101010102
Agglomerative (Hierarchical),0.0,0.2,0.5174825174825175,0.296,0.37659033078880405,0.51,0.5124113475177305,0.578,0.543233082706767,0.514,0.9902003066896684,1.9527027027027026,1.4425040642145908,1.007843137254902
GMM (Probabilistic),0.0,0.2,0.5028901734104047,0.522,0.5122669283611384,0.503,0.5199203187250996,0.522,0.5209580838323353,0.52,1.0338645418326693,1.0,1.0169660678642714,1.0337972166998013
SOM,0.0,0.30000000000000004,0.48577235772357724,0.478,0.48185483870967744,0.486,0.4978540772532189,0.464,0.4803312629399586,0.498,1.0248711548476306,0.9707112970711298,0.9968381021682823,1.0246913580246915
K-Means (Exclusive),0.0,0.30000000000000004,0.515527950310559,0.498,0.5066124109867752,0.515,0.49901768172888017,0.508,0.5034687809712587,0.499,0.9679740573295146,1.0200803212851406,0.9937948025998941,0.9689320388349514
DBSCAN (Density),0.0,0.30000000000000004,0.7142857142857143,0.02,0.038910505836575876,0.506,0.5,1.0,0.6666666666666666,0.5,0.7,50.0,17.133333333333333,0.9881422924901185
Agglomerative (Hierarchical),0.0,0.30000000000000004,0.5042735042735043,0.472,0.48760330578512395,0.504,0.49023090586145646,0.552,0.5192850423330198,0.489,0.9721528133184815,1.169491525423729,1.0649744088524642,0.9702380952380952
GMM (Probabilistic),0.0,0.30000000000000004,0.5170940170940171,0.484,0.5,0.516,0.5028248587570622,0.534,0.5179437439379243,0.503,0.9724050987533268,1.103305785123967,1.0358874878758486,0.9748062015503876
SOM,0.0,0.4000000000000001,0.4839924670433145,0.514,0.498545101842871,0.483,0.48372093023255813,0.416,0.44731182795698926,0.486,0.9994389647995656,0.8093385214007781,0.897234425337852,1.0062111801242235
K-Means (Exclusive),0.0,0.4000000000000001,0.5142857142857142,0.504,0.509090909090909,0.514,0.5077519379844961,0.524,0.515748031496063,0.508,0.9872954349698537,1.0396825396825398,1.0130764904386953,0.9883268482490273
