cluster_distance,cluster_std,simple_precision,simple_recall,simple_f1,simple_accuracy,extended_precision,extended_recall,extended_f1,extended_accuracy,precision_ratio,recall_ratio,f1_ratio,accuracy_ratio
0.0,0.2,0.622,0.632,0.627,0.624,0.597,0.672,0.632,0.609,0.959,1.063,1.008,0.976
0.0,0.3,0.621,0.686,0.652,0.634,0.611,0.64,0.625,0.616,0.983,0.933,0.958,0.972
0.0,0.4,0.619,0.646,0.632,0.624,0.593,0.708,0.645,0.611,0.958,1.096,1.021,0.979
0.0,0.5,0.591,0.706,0.644,0.609,0.592,0.706,0.644,0.61,1.002,1.0,1.001,1.002
0.0,0.6,0.592,0.63,0.61,0.598,0.597,0.716,0.651,0.616,1.008,1.137,1.066,1.03
0.0,0.7,0.603,0.65,0.626,0.611,0.591,0.688,0.636,0.606,0.98,1.058,1.016,0.992
0.0,0.8,0.604,0.71,0.653,0.622,0.634,0.618,0.626,0.631,1.051,0.87,0.959,1.014
0.5,0.2,0.893,0.898,0.895,0.895,0.799,0.796,0.798,0.798,0.895,0.886,0.891,0.892
0.5,0.3,0.805,0.794,0.8,0.801,0.722,0.76,0.741,0.734,0.897,0.957,0.926,0.916
0.5,0.4,0.77,0.798,0.784,0.78,0.694,0.766,0.728,0.714,0.901,0.96,0.929,0.915
0.5,0.5,0.69,0.806,0.744,0.722,0.672,0.73,0.7,0.687,0.974,0.906,0.941,0.952
0.5,0.6,0.726,0.806,0.764,0.751,0.69,0.814,0.747,0.724,0.95,1.01,0.977,0.964
0.5,0.7,0.673,0.744,0.707,0.691,0.68,0.76,0.718,0.701,1.011,1.022,1.016,1.014
0.5,0.8,0.667,0.75,0.706,0.688,0.665,0.722,0.692,0.679,0.996,0.963,0.98,0.987
1.0,0.2,0.996,0.994,0.995,0.995,0.97,0.904,0.936,0.938,0.974,0.909,0.941,0.943
1.0,0.3,0.947,0.96,0.953,0.953,0.868,0.92,0.893,0.89,0.917,0.958,0.937,0.934
1.0,0.4,0.892,0.894,0.893,0.893,0.829,0.872,0.85,0.846,0.929,0.975,0.952,0.947
1.0,0.5,0.836,0.854,0.845,0.843,0.825,0.832,0.829,0.828,0.988,0.974,0.981,0.982
1.0,0.6,0.779,0.834,0.806,0.799,0.768,0.84,0.802,0.793,0.985,1.007,0.996,0.992
1.0,0.7,0.775,0.822,0.798,0.792,0.779,0.798,0.789,0.786,1.005,0.971,0.988,0.992
1.0,0.8,0.751,0.778,0.764,0.76,0.715,0.816,0.762,0.745,0.951,1.049,0.997,0.98
1.5,0.2,0.998,1.0,0.999,0.999,0.998,1.0,0.999,0.999,1.0,1.0,1.0,1.0
1.5,0.3,0.988,0.996,0.992,0.992,0.969,0.984,0.976,0.976,0.98,0.988,0.984,0.984
1.5,0.4,0.966,0.98,0.973,0.973,0.927,0.968,0.947,0.946,0.959,0.988,0.973,0.972
1.5,0.5,0.905,0.958,0.931,0.929,0.902,0.886,0.894,0.895,0.996,0.925,0.96,0.963
1.5,0.6,0.854,0.938,0.894,0.889,0.858,0.87,0.864,0.863,1.004,0.928,0.966,0.971
1.5,0.7,0.872,0.844,0.858,0.86,0.849,0.868,0.859,0.857,0.974,1.028,1.001,0.997
1.5,0.8,0.801,0.886,0.841,0.833,0.814,0.85,0.832,0.828,1.016,0.959,0.988,0.994
2.0,0.2,1.0,1.0,1.0,1.0,0.998,1.0,0.999,0.999,0.998,1.0,0.999,0.999
2.0,0.3,1.0,1.0,1.0,1.0,0.988,1.0,0.994,0.994,0.988,1.0,0.994,0.994
2.0,0.4,0.994,0.996,0.995,0.995,0.978,0.992,0.985,0.985,0.984,0.996,0.99,0.99
2.0,0.5,0.982,0.992,0.987,0.987,0.962,0.966,0.964,0.964,0.98,0.974,0.977,0.977
2.0,0.6,0.962,0.958,0.96,0.96,0.922,0.966,0.943,0.942,0.958,1.008,0.983,0.981
2.0,0.7,0.916,0.942,0.929,0.928,0.91,0.93,0.92,0.919,0.993,0.987,0.99,0.99
2.0,0.8,0.903,0.91,0.906,0.906,0.874,0.932,0.902,0.899,0.968,1.024,0.995,0.992
2.5,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2.5,0.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2.5,0.4,1.0,1.0,1.0,1.0,0.996,0.998,0.997,0.997,0.996,0.998,0.997,0.997
2.5,0.5,0.99,0.99,0.99,0.99,0.986,0.992,0.989,0.989,0.996,1.002,0.999,0.999
2.5,0.6,0.99,0.992,0.991,0.991,0.978,0.982,0.98,0.98,0.988,0.99,0.989,0.989
2.5,0.7,0.968,0.976,0.972,0.972,0.959,0.976,0.967,0.967,0.99,1.0,0.995,0.995
2.5,0.8,0.928,0.948,0.938,0.937,0.933,0.924,0.929,0.929,1.006,0.975,0.99,0.991
3.0,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3.0,0.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3.0,0.4,1.0,1.0,1.0,1.0,0.996,1.0,0.998,0.998,0.996,1.0,0.998,0.998
3.0,0.5,0.998,1.0,0.999,0.999,0.992,1.0,0.996,0.996,0.994,1.0,0.997,0.997
3.0,0.6,0.996,0.996,0.996,0.996,0.977,0.998,0.987,0.987,0.98,1.002,0.991,0.991
3.0,0.7,0.98,0.994,0.987,0.987,0.961,0.984,0.972,0.972,0.98,0.99,0.985,0.985
3.0,0.8,0.966,0.97,0.968,0.968,0.945,0.964,0.954,0.954,0.978,0.994,0.986,0.986
3.5,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3.5,0.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3.5,0.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3.5,0.6,0.998,1.0,0.999,0.999,0.998,1.0,0.999,0.999,1.0,1.0,1.0,1.0
3.5,0.7,0.996,0.996,0.996,0.996,0.99,0.994,0.992,0.992,0.994,0.998,0.996,0.996
3.5,0.8,0.988,0.984,0.986,0.986,0.97,0.982,0.976,0.976,0.982,0.998,0.99,0.99
