method,cluster_distance,cluster_std,simple_precision,simple_recall,simple_f1,simple_accuracy,extended_precision,extended_recall,extended_f1,extended_accuracy,precision_ratio,recall_ratio,f1_ratio,accuracy_ratio
SOM,0.0,0.2,0.49625935162094764,0.398,0.44173140954495005,0.497,0.5191489361702127,0.488,0.5030927835051546,0.518,1.0461242382123381,1.2261306532663316,1.13891105009584,1.0422535211267605
K-Means (Exclusive),0.0,0.2,0.4796905222437137,0.496,0.48770894788593905,0.479,0.5347490347490348,0.554,0.5442043222003929,0.536,1.114779237763109,1.1169354838709677,1.1158382977374992,1.118997912317328
DBSCAN (Density),0.0,0.2,0.5714285714285714,0.016,0.0311284046692607,0.502,0.5,1.0,0.6666666666666666,0.5,0.875,62.5,21.416666666666664,0.9960159362549801
Agglomerative (Hierarchical),0.0,0.2,0.45742092457420924,0.376,0.4127332601536773,0.465,0.4623115577889447,0.368,0.40979955456570155,0.47,1.0106917566556186,0.9787234042553191,0.9928920058759417,1.010752688172043
GMM (Probabilistic),0.0,0.2,0.47718631178707227,0.502,0.48927875243664715,0.476,0.5276190476190477,0.554,0.5404878048780488,0.529,1.105687725289319,1.103585657370518,1.104662326304538,1.111344537815126
SOM,0.0,0.30000000000000004,0.5114942528735632,0.534,0.5225048923679061,0.512,0.510158013544018,0.452,0.47932131495228,0.509,0.9973875770411139,0.846441947565543,0.9173527788038017,0.994140625
K-Means (Exclusive),0.0,0.30000000000000004,0.503690036900369,0.546,0.5239923224568138,0.504,0.48414376321353064,0.458,0.47070914696813976,0.485,0.9611938449147752,0.8388278388278388,0.8983130606974389,0.9623015873015872
DBSCAN (Density),0.0,0.30000000000000004,0.7142857142857143,0.01,0.01972386587771203,0.503,0.5015075376884423,0.998,0.6675585284280936,0.503,0.7021105527638192,99.8,33.845217391304345,1.0
Agglomerative (Hierarchical),0.0,0.30000000000000004,0.49213483146067416,0.438,0.4634920634920635,0.493,0.46596858638743455,0.356,0.4036281179138322,0.474,0.946831145855746,0.8127853881278538,0.8708414872798433,0.9614604462474645
GMM (Probabilistic),0.0,0.30000000000000004,0.49482758620689654,0.574,0.5314814814814814,0.494,0.49130434782608695,0.452,0.4708333333333333,0.492,0.9928798666868657,0.7874564459930314,0.8858885017421603,0.9959514170040485
SOM,0.0,0.4000000000000001,0.4849137931034483,0.45,0.46680497925311204,0.486,0.5176715176715176,0.498,0.5076452599388379,0.517,1.0675537075537074,1.1066666666666667,1.087488956846755,1.0637860082304527
K-Means (Exclusive),0.0,0.4000000000000001,0.5020491803278688,0.49,0.4959514170040486,0.502,0.5121457489878543,0.506,0.5090543259557344,0.512,1.020110716351318,1.0326530612244897,1.0264197429474808,1.0199203187250996
DBSCAN (Density),0.0,0.4000000000000001,0.5789473684210527,0.022,0.04238921001926782,0.503,0.4994974874371859,0.994,0.6648829431438127,0.499,0.862768387391503,45.18181818181819,15.685193067801764,0.9920477137176938
Agglomerative (Hierarchical),0.0,0.4000000000000001,0.47380410022779046,0.416,0.443024494142705,0.477,0.5307262569832403,0.38,0.4428904428904429,0.522,1.1201385904598196,0.9134615384615385,0.9996974179666487,1.0943396226415094
GMM (Probabilistic),0.0,0.4000000000000001,0.5061728395061729,0.492,0.49898580121703856,0.506,0.524416135881104,0.494,0.5087538619979403,0.523,1.0360416343016932,1.0040650406504066,1.0195758291259533,1.033596837944664
SOM,0.0,0.5000000000000001,0.49910873440285203,0.56,0.527803958529689,0.499,0.4952741020793951,0.524,0.5092322643343051,0.495,0.9923170402376452,0.9357142857142856,0.9648132722476745,0.9919839679358717
K-Means (Exclusive),0.0,0.5000000000000001,0.49616858237547895,0.518,0.5068493150684932,0.496,0.5230202578268877,0.568,0.5445829338446788,0.525,1.0541180485931867,1.0965250965250963,1.0744474100178798,1.058467741935484
DBSCAN (Density),0.0,0.5000000000000001,0.5,0.01,0.0196078431372549,0.5,0.5,1.0,0.6666666666666666,0.5,1.0,100.0,34.0,1.0
Agglomerative (Hierarchical),0.0,0.5000000000000001,0.5147392290249433,0.454,0.4824654622741764,0.513,0.5166340508806262,0.528,0.5222551928783383,0.517,1.0036811296843884,1.1629955947136563,1.0824716662962914,1.0077972709551657
GMM (Probabilistic),0.0,0.5000000000000001,0.5046554934823091,0.542,0.5226615236258437,0.505,0.5133214920071048,0.578,0.5437441204139228,0.515,1.0171721077779161,1.0664206642066418,1.0403369979137234,1.0198019801980198
SOM,0.0,0.6000000000000001,0.5382716049382716,0.436,0.481767955801105,0.531,0.5056390977443609,0.538,0.5213178294573644,0.506,0.9393753880113126,1.2339449541284404,1.0820932010525568,0.9529190207156308
K-Means (Exclusive),0.0,0.6000000000000001,0.4968152866242038,0.468,0.4819773429454171,0.497,0.4826325411334552,0.528,0.504297994269341,0.481,0.9714526789481086,1.1282051282051282,1.046310582127201,0.9678068410462777
