method,cluster_distance,cluster_std,simple_precision,simple_recall,simple_f1,simple_accuracy,extended_precision,extended_recall,extended_f1,extended_accuracy,precision_ratio,recall_ratio,f1_ratio,accuracy_ratio
SOM,0.0,0.2,0.5264270613107822,0.498,0.5118191161356629,0.525,0.4781659388646288,0.438,0.4572025052192067,0.48,0.9083232493291946,0.8795180722891567,0.893289232084916,0.9142857142857143
K-Means (Exclusive),0.0,0.2,0.5069033530571992,0.514,0.5104270109235353,0.507,0.48329621380846327,0.434,0.45732349841938885,0.485,0.953428717513194,0.8443579766536965,0.8959625737516043,0.9566074950690335
DBSCAN (Density),0.0,0.2,0.5,0.016,0.031007751937984496,0.5,0.5,1.0,0.6666666666666666,0.5,1.0,62.5,21.5,1.0
Agglomerative (Hierarchical),0.0,0.2,0.4954545454545455,0.436,0.46382978723404256,0.496,0.5053191489361702,0.38,0.4337899543378995,0.504,1.019910208861995,0.8715596330275229,0.9352352226551045,1.0161290322580645
GMM (Probabilistic),0.0,0.2,0.5107632093933464,0.522,0.516320474777448,0.511,0.4975609756097561,0.408,0.44835164835164837,0.498,0.9741519484160358,0.7816091954022988,0.8683592269799167,0.974559686888454
SOM,0.0,0.30000000000000004,0.48769574944071586,0.436,0.4604012671594509,0.489,0.5176211453744494,0.47,0.49266247379454925,0.516,1.0613607889099947,1.0779816513761467,1.0700719327601793,1.0552147239263805
K-Means (Exclusive),0.0,0.30000000000000004,0.5131086142322098,0.548,0.5299806576402321,0.514,0.49903660886319845,0.518,0.5083415112855741,0.499,0.9725749968355765,0.9452554744525546,0.9591699318782549,0.9708171206225681
DBSCAN (Density),0.0,0.30000000000000004,0.75,0.012,0.023622047244094488,0.504,0.5015136226034309,0.994,0.6666666666666666,0.503,0.6686848301379079,82.83333333333333,28.22222222222222,0.998015873015873
Agglomerative (Hierarchical),0.0,0.30000000000000004,0.479108635097493,0.344,0.40046565774155995,0.485,0.4821002386634845,0.404,0.4396082698585419,0.485,1.0062441027918079,1.1744186046511629,1.0977427436293241,1.0
GMM (Probabilistic),0.0,0.30000000000000004,0.5103806228373703,0.59,0.5473098330241187,0.512,0.503690036900369,0.546,0.5239923224568138,0.504,0.9868909875539431,0.9254237288135594,0.9573961417092294,0.984375
SOM,0.0,0.4000000000000001,0.5106382978723404,0.432,0.46803900325027087,0.509,0.4934782608695652,0.454,0.47291666666666665,0.494,0.9663949275362319,1.050925925925926,1.0104214891975307,0.9705304518664047
K-Means (Exclusive),0.0,0.4000000000000001,0.4849624060150376,0.516,0.5,0.484,0.5075757575757576,0.536,0.5214007782101168,0.508,1.0466290815128023,1.0387596899224807,1.0428015564202335,1.0495867768595042
DBSCAN (Density),0.0,0.4000000000000001,0.4,0.012,0.02330097087378641,0.497,0.5,1.0,0.6666666666666666,0.5,1.25,83.33333333333333,28.611111111111107,1.0060362173038229
Agglomerative (Hierarchical),0.0,0.4000000000000001,0.5062761506276151,0.242,0.3274695534506089,0.503,0.49169435215946844,0.296,0.36953807740324596,0.495,0.9711979352571318,1.2231404958677685,1.1284654512437966,0.9840954274353877
GMM (Probabilistic),0.0,0.4000000000000001,0.48853615520282184,0.554,0.5192127460168697,0.487,0.4982517482517482,0.57,0.5317164179104478,0.498,1.0198871525586326,1.0288808664259925,1.024081981787812,1.0225872689938398
SOM,0.0,0.5000000000000001,0.4842105263157895,0.368,0.41818181818181815,0.488,0.4905263157894737,0.466,0.47794871794871796,0.491,1.0130434782608695,1.2663043478260871,1.1429208472686734,1.0061475409836065
K-Means (Exclusive),0.0,0.5000000000000001,0.5,0.526,0.5126705653021443,0.5,0.5018587360594795,0.54,0.5202312138728323,0.502,1.003717472118959,1.0266159695817492,1.014747576869821,1.004
DBSCAN (Density),0.0,0.5000000000000001,0.7142857142857143,0.01,0.01972386587771203,0.503,0.5,1.0,0.6666666666666666,0.5,0.7,100.0,33.8,0.9940357852882704
Agglomerative (Hierarchical),0.0,0.5000000000000001,0.5085158150851582,0.418,0.4588364434687157,0.507,0.5358255451713395,0.344,0.4190012180267966,0.523,1.0537047802173232,0.8229665071770335,0.9131820804363915,1.0315581854043392
