method,cluster_distance,cluster_std,simple_precision,simple_recall,simple_f1,simple_accuracy,extended_precision,extended_recall,extended_f1,extended_accuracy,precision_ratio,recall_ratio,f1_ratio,accuracy_ratio
SOM,0.0,0.2,0.5210918114143921,0.42,0.46511627906976744,0.517,0.5043290043290043,0.466,0.48440748440748443,0.504,0.967831374974232,1.1095238095238096,1.0414760914760917,0.9748549323017408
K-Means (Exclusive),0.0,0.2,0.5066162570888468,0.536,0.5208940719144801,0.507,0.4823529411764706,0.492,0.4871287128712871,0.482,0.952107111501317,0.917910447761194,0.9351780700458104,0.9506903353057199
DBSCAN (Density),0.0,0.2,0.5333333333333333,0.016,0.031067961165048542,0.501,0.5,1.0,0.6666666666666666,0.5,0.9375,62.5,21.458333333333332,0.998003992015968
Agglomerative (Hierarchical),0.0,0.2,0.4892966360856269,0.32,0.38694074969770254,0.493,0.5212765957446809,0.49,0.5051546391752577,0.52,1.0653590425531916,1.53125,1.3055090206185567,1.054766734279919
GMM (Probabilistic),0.0,0.2,0.5172413793103449,0.57,0.5423406279733587,0.519,0.48990825688073397,0.534,0.5110047846889952,0.489,0.9471559633027523,0.936842105263158,0.9422211029967263,0.9421965317919074
SOM,0.0,0.30000000000000004,0.5200892857142857,0.466,0.49156118143459915,0.518,0.49722222222222223,0.358,0.41627906976744183,0.498,0.9560324272770625,0.7682403433476395,0.8468509831320491,0.9613899613899614
K-Means (Exclusive),0.0,0.30000000000000004,0.48007590132827327,0.506,0.49269717624148,0.479,0.5087040618955513,0.526,0.5172074729596854,0.509,1.059632571616425,1.0395256916996047,1.0497471832600729,1.0626304801670148
DBSCAN (Density),0.0,0.30000000000000004,0.75,0.024,0.046511627906976744,0.508,0.5,1.0,0.6666666666666666,0.5,0.6666666666666666,41.666666666666664,14.333333333333332,0.984251968503937
Agglomerative (Hierarchical),0.0,0.30000000000000004,0.5294117647058824,0.36,0.42857142857142855,0.52,0.5565476190476191,0.374,0.4473684210526316,0.538,1.0512566137566137,1.038888888888889,1.0438596491228072,1.0346153846153847
GMM (Probabilistic),0.0,0.30000000000000004,0.46897810218978103,0.514,0.4904580152671756,0.466,0.5134615384615384,0.534,0.5235294117647059,0.514,1.0948518407662375,1.038910505836576,1.0674296177615015,1.1030042918454934
SOM,0.0,0.4000000000000001,0.49567099567099565,0.458,0.4760914760914761,0.496,0.5020576131687243,0.488,0.4949290060851927,0.502,1.0128847916329722,1.0655021834061136,1.0395670389824352,1.0120967741935485
K-Means (Exclusive),0.0,0.4000000000000001,0.5031185031185031,0.484,0.49337410805300713,0.503,0.4969818913480885,0.494,0.4954864593781344,0.497,0.987802850158804,1.0206611570247934,1.0042814393594006,0.9880715705765407
DBSCAN (Density),0.0,0.4000000000000001,0.4375,0.014,0.027131782945736434,0.498,0.5,1.0,0.6666666666666666,0.5,1.1428571428571428,71.42857142857143,24.57142857142857,1.0040160642570282
Agglomerative (Hierarchical),0.0,0.4000000000000001,0.5091863517060368,0.388,0.44040862656072643,0.507,0.5064102564102564,0.316,0.3891625615763547,0.504,0.9945479777954004,0.8144329896907216,0.8836397338885786,0.9940828402366864
GMM (Probabilistic),0.0,0.4000000000000001,0.4989429175475687,0.472,0.4850976361767729,0.499,0.5,0.508,0.503968253968254,0.5,1.0021186440677967,1.076271186440678,1.03890065913371,1.002004008016032
SOM,0.0,0.5000000000000001,0.4878048780487805,0.44,0.46267087276551,0.489,0.5072815533980582,0.418,0.4583333333333333,0.506,1.0399271844660194,0.95,0.990625,1.034764826175869
K-Means (Exclusive),0.0,0.5000000000000001,0.47484909456740443,0.472,0.47342026078234706,0.475,0.5,0.5,0.5,0.5,1.0529661016949152,1.0593220338983051,1.05614406779661,1.0526315789473684
DBSCAN (Density),0.0,0.5000000000000001,0.4666666666666667,0.014,0.027184466019417475,0.499,0.5005025125628141,0.996,0.6662207357859532,0.501,1.072505384063173,71.14285714285714,24.50740563784042,1.0040080160320641
Agglomerative (Hierarchical),0.0,0.5000000000000001,0.4507936507936508,0.284,0.34846625766871164,0.469,0.47288503253796094,0.436,0.45369406867845996,0.475,1.0490055299257584,1.535211267605634,1.3019741759610735,1.0127931769722816
GMM (Probabilistic),0.0,0.5000000000000001,0.47368421052631576,0.468,0.4708249496981891,0.474,0.5069860279441117,0.508,0.5074925074925075,0.507,1.0703038367709026,1.0854700854700854,1.0778793855716933,1.069620253164557
SOM,0.0,0.6000000000000001,0.4949238578680203,0.39,0.436241610738255,0.496,0.4940898345153664,0.418,0.4528710725893825,0.495,0.9983148451233558,1.0717948717948718,1.0381198433202767,0.9979838709677419
