cluster_distance,cluster_std,simple_precision,simple_recall,simple_f1,simple_accuracy,extended_precision,extended_recall,extended_f1,extended_accuracy,precision_ratio,recall_ratio,f1_ratio,accuracy_ratio
0.0,0.2,0.593,0.722,0.651,0.613,0.615,0.676,0.644,0.626,1.037,0.936,0.989,1.021
0.0,0.3,0.604,0.612,0.608,0.605,0.614,0.642,0.628,0.619,1.017,1.049,1.033,1.023
0.0,0.4,0.585,0.696,0.636,0.601,0.624,0.65,0.637,0.629,1.067,0.934,1.002,1.047
0.0,0.5,0.617,0.602,0.609,0.614,0.613,0.608,0.61,0.612,0.994,1.01,1.002,0.997
0.0,0.6,0.599,0.658,0.627,0.609,0.6,0.664,0.631,0.611,1.002,1.009,1.005,1.003
0.0,0.7,0.61,0.598,0.604,0.608,0.597,0.702,0.645,0.614,0.978,1.174,1.068,1.01
0.0,0.8,0.605,0.64,0.622,0.611,0.598,0.72,0.653,0.618,0.989,1.125,1.05,1.011
0.5,0.2,0.913,0.882,0.897,0.899,0.764,0.818,0.79,0.783,0.837,0.927,0.881,0.871
0.5,0.3,0.774,0.89,0.828,0.815,0.703,0.79,0.744,0.728,0.908,0.888,0.899,0.893
0.5,0.4,0.765,0.756,0.761,0.762,0.719,0.722,0.721,0.72,0.94,0.955,0.947,0.945
0.5,0.5,0.709,0.774,0.74,0.728,0.727,0.736,0.732,0.73,1.026,0.951,0.989,1.003
0.5,0.6,0.705,0.742,0.723,0.716,0.698,0.69,0.694,0.696,0.99,0.93,0.96,0.972
0.5,0.7,0.676,0.684,0.68,0.678,0.661,0.714,0.687,0.674,0.978,1.044,1.01,0.994
0.5,0.8,0.679,0.706,0.692,0.686,0.644,0.75,0.693,0.668,0.949,1.062,1.001,0.974
1.0,0.2,0.998,0.998,0.998,0.998,0.963,0.932,0.947,0.948,0.965,0.934,0.949,0.95
1.0,0.3,0.956,0.958,0.957,0.957,0.89,0.91,0.9,0.899,0.931,0.95,0.941,0.939
1.0,0.4,0.86,0.944,0.9,0.895,0.828,0.884,0.855,0.85,0.963,0.936,0.95,0.95
1.0,0.5,0.853,0.86,0.857,0.856,0.815,0.808,0.811,0.812,0.955,0.94,0.947,0.949
1.0,0.6,0.81,0.82,0.815,0.814,0.764,0.81,0.786,0.78,0.943,0.988,0.965,0.958
1.0,0.7,0.77,0.816,0.792,0.786,0.746,0.8,0.772,0.764,0.969,0.98,0.975,0.972
1.0,0.8,0.743,0.776,0.759,0.754,0.726,0.748,0.737,0.733,0.977,0.964,0.971,0.972
1.5,0.2,1.0,1.0,1.0,1.0,0.978,0.996,0.987,0.987,0.978,0.996,0.987,0.987
1.5,0.3,0.998,1.0,0.999,0.999,0.959,0.988,0.973,0.973,0.961,0.988,0.974,0.974
1.5,0.4,0.969,0.984,0.976,0.976,0.941,0.93,0.936,0.936,0.972,0.945,0.958,0.959
1.5,0.5,0.907,0.94,0.923,0.922,0.881,0.934,0.907,0.904,0.971,0.994,0.982,0.98
1.5,0.6,0.892,0.922,0.907,0.905,0.866,0.904,0.885,0.882,0.971,0.98,0.976,0.975
1.5,0.7,0.867,0.896,0.881,0.879,0.847,0.862,0.854,0.853,0.977,0.962,0.97,0.97
1.5,0.8,0.797,0.902,0.846,0.836,0.812,0.854,0.832,0.828,1.019,0.947,0.984,0.99
2.0,0.2,1.0,1.0,1.0,1.0,1.0,0.998,0.999,0.999,1.0,0.998,0.999,0.999
2.0,0.3,1.0,1.0,1.0,1.0,0.988,1.0,0.994,0.994,0.988,1.0,0.994,0.994
2.0,0.4,0.992,0.996,0.994,0.994,0.977,0.998,0.987,0.987,0.984,1.002,0.993,0.993
2.0,0.5,0.959,0.982,0.97,0.97,0.95,0.95,0.95,0.95,0.991,0.967,0.979,0.979
2.0,0.6,0.954,0.948,0.951,0.951,0.937,0.946,0.941,0.941,0.982,0.998,0.99,0.989
2.0,0.7,0.939,0.922,0.93,0.931,0.922,0.924,0.923,0.923,0.982,1.002,0.992,0.991
2.0,0.8,0.886,0.92,0.903,0.901,0.878,0.896,0.887,0.886,0.991,0.974,0.983,0.983
2.5,0.2,1.0,1.0,1.0,1.0,0.998,1.0,0.999,0.999,0.998,1.0,0.999,0.999
2.5,0.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2.5,0.4,1.0,0.998,0.999,0.999,0.996,1.0,0.998,0.998,0.996,1.002,0.999,0.999
2.5,0.5,0.994,0.996,0.995,0.995,0.986,0.992,0.989,0.989,0.992,0.996,0.994,0.994
2.5,0.6,0.984,0.984,0.984,0.984,0.976,0.976,0.976,0.976,0.992,0.992,0.992,0.992
2.5,0.7,0.97,0.97,0.97,0.97,0.947,0.964,0.955,0.955,0.976,0.994,0.985,0.985
2.5,0.8,0.952,0.96,0.956,0.956,0.94,0.948,0.944,0.944,0.988,0.987,0.988,0.987
3.0,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3.0,0.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3.0,0.4,1.0,1.0,1.0,1.0,0.996,1.0,0.998,0.998,0.996,1.0,0.998,0.998
3.0,0.5,1.0,0.998,0.999,0.999,0.998,0.998,0.998,0.998,0.998,1.0,0.999,0.999
3.0,0.6,0.99,0.996,0.993,0.993,0.984,0.99,0.987,0.987,0.994,0.994,0.994,0.994
3.0,0.7,0.978,0.992,0.985,0.985,0.98,0.98,0.98,0.98,1.002,0.988,0.995,0.995
3.0,0.8,0.959,0.98,0.969,0.969,0.961,0.974,0.967,0.967,1.002,0.994,0.998,0.998
3.5,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3.5,0.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3.5,0.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3.5,0.5,1.0,1.0,1.0,1.0,0.998,1.0,0.999,0.999,0.998,1.0,0.999,0.999
3.5,0.6,0.996,1.0,0.998,0.998,0.996,0.998,0.997,0.997,1.0,0.998,0.999,0.999
3.5,0.7,0.994,0.994,0.994,0.994,0.984,0.994,0.989,0.989,0.99,1.0,0.995,0.995
3.5,0.8,0.982,0.996,0.989,0.989,0.971,0.996,0.983,0.983,0.988,1.0,0.994,0.994
