cluster_distance,cluster_std,simple_precision,simple_recall,simple_f1,simple_accuracy,extended_precision,extended_recall,extended_f1,extended_accuracy,precision_ratio,recall_ratio,f1_ratio,accuracy_ratio
0.0,0.2,0.633,0.636,0.635,0.634,0.621,0.69,0.653,0.634,0.98,1.085,1.029,1.0
0.0,0.3,0.61,0.644,0.626,0.616,0.616,0.648,0.632,0.622,1.01,1.006,1.008,1.01
0.0,0.4,0.613,0.712,0.659,0.631,0.596,0.748,0.664,0.621,0.973,1.051,1.008,0.984
0.0,0.5,0.587,0.744,0.656,0.61,0.604,0.682,0.64,0.617,1.029,0.917,0.976,1.011
0.0,0.6,0.606,0.688,0.644,0.62,0.593,0.692,0.639,0.609,0.98,1.006,0.992,0.982
0.0,0.7,0.595,0.68,0.635,0.609,0.604,0.68,0.64,0.617,1.014,1.0,1.008,1.013
0.0,0.8,0.608,0.64,0.624,0.614,0.601,0.654,0.626,0.61,0.988,1.022,1.004,0.993
0.5,0.2,0.903,0.926,0.914,0.913,0.717,0.822,0.766,0.749,0.795,0.888,0.838,0.82
0.5,0.3,0.82,0.812,0.816,0.817,0.755,0.758,0.756,0.756,0.92,0.933,0.927,0.925
0.5,0.4,0.733,0.812,0.77,0.758,0.715,0.724,0.72,0.718,0.976,0.892,0.934,0.947
0.5,0.5,0.684,0.768,0.724,0.707,0.682,0.778,0.727,0.708,0.997,1.013,1.005,1.001
0.5,0.6,0.69,0.74,0.714,0.704,0.678,0.706,0.691,0.685,0.982,0.954,0.968,0.973
0.5,0.7,0.686,0.766,0.724,0.708,0.674,0.736,0.704,0.69,0.982,0.961,0.972,0.975
0.5,0.8,0.637,0.756,0.692,0.663,0.635,0.738,0.683,0.657,0.996,0.976,0.987,0.991
1.0,0.2,0.998,0.998,0.998,0.998,0.943,0.962,0.952,0.952,0.945,0.964,0.954,0.954
1.0,0.3,0.95,0.944,0.947,0.947,0.874,0.926,0.899,0.896,0.92,0.981,0.95,0.946
1.0,0.4,0.924,0.92,0.922,0.922,0.841,0.896,0.867,0.863,0.91,0.974,0.941,0.936
1.0,0.5,0.85,0.864,0.857,0.856,0.799,0.86,0.829,0.822,0.94,0.995,0.967,0.96
1.0,0.6,0.83,0.818,0.824,0.825,0.783,0.832,0.807,0.801,0.944,1.017,0.98,0.971
1.0,0.7,0.769,0.818,0.793,0.786,0.763,0.79,0.776,0.772,0.992,0.966,0.979,0.982
1.0,0.8,0.758,0.76,0.759,0.759,0.732,0.786,0.758,0.749,0.965,1.034,0.998,0.987
1.5,0.2,1.0,1.0,1.0,1.0,0.986,1.0,0.993,0.993,0.986,1.0,0.993,0.993
1.5,0.3,0.992,0.996,0.994,0.994,0.967,0.988,0.977,0.977,0.974,0.992,0.983,0.983
1.5,0.4,0.972,0.98,0.976,0.976,0.924,0.976,0.949,0.948,0.951,0.996,0.973,0.971
1.5,0.5,0.934,0.936,0.935,0.935,0.927,0.92,0.924,0.924,0.993,0.983,0.988,0.988
1.5,0.6,0.887,0.946,0.916,0.913,0.846,0.92,0.881,0.876,0.953,0.973,0.962,0.959
1.5,0.7,0.839,0.906,0.871,0.866,0.826,0.886,0.855,0.85,0.985,0.978,0.982,0.982
1.5,0.8,0.833,0.856,0.844,0.842,0.805,0.844,0.824,0.82,0.967,0.986,0.976,0.974
2.0,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2.0,0.3,1.0,1.0,1.0,1.0,0.988,1.0,0.994,0.994,0.988,1.0,0.994,0.994
2.0,0.4,0.99,0.996,0.993,0.993,0.986,0.982,0.984,0.984,0.996,0.986,0.991,0.991
2.0,0.5,0.99,0.976,0.983,0.983,0.955,0.974,0.964,0.964,0.965,0.998,0.981,0.981
2.0,0.6,0.941,0.964,0.953,0.952,0.93,0.95,0.94,0.939,0.987,0.985,0.986,0.986
2.0,0.7,0.899,0.942,0.92,0.918,0.886,0.934,0.909,0.907,0.986,0.992,0.989,0.988
2.0,0.8,0.89,0.91,0.9,0.899,0.861,0.908,0.884,0.881,0.968,0.998,0.982,0.98
2.5,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2.5,0.3,1.0,1.0,1.0,1.0,1.0,0.998,0.999,0.999,1.0,0.998,0.999,0.999
2.5,0.4,1.0,1.0,1.0,1.0,0.994,1.0,0.997,0.997,0.994,1.0,0.997,0.997
2.5,0.5,0.986,0.996,0.991,0.991,0.986,0.994,0.99,0.99,1.0,0.998,0.999,0.999
2.5,0.6,0.98,0.99,0.985,0.985,0.958,0.994,0.975,0.975,0.977,1.004,0.99,0.99
2.5,0.7,0.97,0.972,0.971,0.971,0.96,0.962,0.961,0.961,0.99,0.99,0.99,0.99
2.5,0.8,0.942,0.95,0.946,0.946,0.926,0.93,0.928,0.928,0.983,0.979,0.981,0.981
3.0,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3.0,0.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3.0,0.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3.0,0.5,0.998,0.996,0.997,0.997,0.994,0.996,0.995,0.995,0.996,1.0,0.998,0.998
3.0,0.6,0.998,0.996,0.997,0.997,0.986,0.992,0.989,0.989,0.988,0.996,0.992,0.992
3.0,0.7,0.965,0.986,0.975,0.975,0.968,0.98,0.974,0.974,1.004,0.994,0.999,0.999
3.0,0.8,0.976,0.984,0.98,0.98,0.976,0.962,0.969,0.969,0.999,0.978,0.988,0.989
3.5,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3.5,0.3,1.0,1.0,1.0,1.0,0.998,1.0,0.999,0.999,0.998,1.0,0.999,0.999
3.5,0.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
