method,cluster_distance,cluster_std,simple_precision,simple_recall,simple_f1,simple_accuracy,extended_precision,extended_recall,extended_f1,extended_accuracy,precision_ratio,recall_ratio,f1_ratio,accuracy_ratio
SOM,0.0,0.2,0.49336283185840707,0.446,0.4684873949579832,0.494,0.49356223175965663,0.46,0.47619047619047616,0.494,1.0004041648222637,1.031390134529148,1.0164424514200299,1.0
K-Means (Exclusive),0.0,0.2,0.5219047619047619,0.548,0.5346341463414634,0.523,0.4652014652014652,0.508,0.48565965583174,0.462,0.8913531723750703,0.927007299270073,0.908396254064842,0.8833652007648184
DBSCAN (Density),0.0,0.2,0.6153846153846154,0.016,0.031189083820662766,0.503,0.5,1.0,0.6666666666666666,0.5,0.8125,62.5,21.375,0.9940357852882704
Agglomerative (Hierarchical),0.0,0.2,0.48737373737373735,0.386,0.43080357142857145,0.49,0.5058479532163743,0.346,0.41092636579572445,0.504,1.037905644941369,0.8963730569948186,0.9538601651631323,1.0285714285714287
GMM (Probabilistic),0.0,0.2,0.5238970588235294,0.57,0.5459770114942529,0.526,0.4707846410684474,0.564,0.5131938125568699,0.465,0.8986205078639838,0.9894736842105263,0.9399549829988985,0.8840304182509505
SOM,0.0,0.30000000000000004,0.4962686567164179,0.532,0.5135135135135135,0.496,0.4981060606060606,0.526,0.5116731517509727,0.498,1.0037024379129642,0.9887218045112782,0.9964161376203153,1.0040322580645162
K-Means (Exclusive),0.0,0.30000000000000004,0.5020408163265306,0.492,0.49696969696969695,0.502,0.4906832298136646,0.474,0.4821973550356053,0.491,0.9773771650759985,0.9634146341463414,0.9702751656204254,0.9780876494023905
DBSCAN (Density),0.0,0.30000000000000004,0.5652173913043478,0.026,0.0497131931166348,0.503,0.5,1.0,0.6666666666666666,0.5,0.8846153846153847,38.46153846153846,13.410256410256409,0.9940357852882704
Agglomerative (Hierarchical),0.0,0.30000000000000004,0.4913494809688581,0.568,0.5269016697588126,0.49,0.4735576923076923,0.394,0.43013100436681223,0.478,0.9637899512459371,0.693661971830986,0.8163401808229289,0.9755102040816326
GMM (Probabilistic),0.0,0.30000000000000004,0.5020833333333333,0.482,0.49183673469387756,0.502,0.48156182212581344,0.444,0.4620187304890739,0.483,0.959127280582533,0.9211618257261411,0.9393741823221834,0.9621513944223107
SOM,0.0,0.4000000000000001,0.5138592750533049,0.482,0.49742002063983487,0.513,0.4867075664621677,0.476,0.48129423660262893,0.487,0.9471611978039696,0.987551867219917,0.9675811520081897,0.949317738791423
K-Means (Exclusive),0.0,0.4000000000000001,0.4787018255578093,0.472,0.47532729103726085,0.479,0.4784394250513347,0.466,0.47213779128672745,0.479,0.9994518497894407,0.9872881355932205,0.9932898871773735,1.0
DBSCAN (Density),0.0,0.4000000000000001,0.6,0.018,0.03495145631067961,0.503,0.5,1.0,0.6666666666666666,0.5,0.8333333333333334,55.55555555555556,19.074074074074073,0.9940357852882704
Agglomerative (Hierarchical),0.0,0.4000000000000001,0.5087209302325582,0.35,0.4146919431279621,0.506,0.5102040816326531,0.5,0.5050505050505051,0.51,1.0029154518950438,1.4285714285714286,1.217893217893218,1.007905138339921
GMM (Probabilistic),0.0,0.4000000000000001,0.47717842323651455,0.46,0.4684317718940937,0.478,0.4838709677419355,0.45,0.46632124352331605,0.485,1.0140252454417953,0.9782608695652174,0.9954944807389051,1.0146443514644352
SOM,0.0,0.5000000000000001,0.4955555555555556,0.446,0.4694736842105263,0.496,0.5253549695740365,0.518,0.5216515609264853,0.525,1.0601333466740646,1.1614349775784754,1.111141217220092,1.058467741935484
K-Means (Exclusive),0.0,0.5000000000000001,0.505175983436853,0.488,0.49643947100712105,0.505,0.5018867924528302,0.532,0.516504854368932,0.502,0.993489019486545,1.0901639344262295,1.040418589845615,0.994059405940594
DBSCAN (Density),0.0,0.5000000000000001,0.4,0.012,0.02330097087378641,0.497,0.5,1.0,0.6666666666666666,0.5,1.25,83.33333333333333,28.611111111111107,1.0060362173038229
Agglomerative (Hierarchical),0.0,0.5000000000000001,0.4880294659300184,0.53,0.5081495685522531,0.487,0.49658314350797267,0.436,0.4643237486687966,0.497,1.0175269695276572,0.8226415094339622,0.9137540940784054,1.0205338809034907
GMM (Probabilistic),0.0,0.5000000000000001,0.5042372881355932,0.476,0.4897119341563786,0.504,0.4991304347826087,0.574,0.533953488372093,0.499,0.9898721227621484,1.2058823529411764,1.0903419972640218,0.9900793650793651
SOM,0.0,0.6000000000000001,0.48237476808905383,0.52,0.5004812319538018,0.481,0.5375586854460094,0.458,0.4946004319654428,0.532,1.1144005055976887,0.8807692307692307,0.9882497092540289,1.106029106029106
K-Means (Exclusive),0.0,0.6000000000000001,0.48902195608782434,0.49,0.48951048951048953,0.489,0.4945770065075922,0.456,0.4745057232049948,0.495,1.0113595112665457,0.9306122448979592,0.9693474059759178,1.0122699386503067
DBSCAN (Density),0.0,0.6000000000000001,0.3076923076923077,0.008,0.015594541910331383,0.495,0.5015075376884423,0.998,0.6675585284280936,0.503,1.6298994974874372,124.75,42.807190635451505,1.0161616161616163
Agglomerative (Hierarchical),0.0,0.6000000000000001,0.5,0.404,0.4469026548672566,0.5,0.4988399071925754,0.43,0.46186895810955964,0.499,0.9976798143851509,1.0643564356435642,1.0334889557699058,0.998
GMM (Probabilistic),0.0,0.6000000000000001,0.5049115913555993,0.514,0.5094152626362736,0.505,0.4850574712643678,0.422,0.45133689839572194,0.487,0.960678026745382,0.8210116731517509,0.8859901371231195,0.9643564356435643
SOM,0.0,0.7000000000000002,0.48283261802575106,0.45,0.4658385093167702,0.484,0.5076923076923077,0.462,0.4837696335078534,0.507,1.0514871794871794,1.0266666666666666,1.0384921465968586,1.047520661157025
