cluster_distance,cluster_std,simple_precision,simple_recall,simple_f1,simple_accuracy,extended_precision,extended_recall,extended_f1,extended_accuracy,precision_ratio,recall_ratio,f1_ratio,accuracy_ratio
0.0,0.2,0.602,0.59,0.596,0.6,0.606,0.688,0.644,0.62,1.006,1.166,1.081,1.033
0.0,0.3,0.609,0.658,0.633,0.618,0.602,0.666,0.632,0.613,0.988,1.012,1.0,0.992
0.0,0.4,0.595,0.71,0.647,0.613,0.627,0.622,0.624,0.626,1.054,0.876,0.965,1.021
0.0,0.5,0.634,0.588,0.61,0.624,0.626,0.606,0.616,0.622,0.988,1.031,1.01,0.997
0.0,0.6,0.591,0.706,0.644,0.609,0.608,0.696,0.649,0.624,1.029,0.986,1.009,1.025
0.0,0.7,0.599,0.656,0.626,0.608,0.612,0.64,0.626,0.617,1.022,0.976,0.999,1.015
0.0,0.8,0.61,0.706,0.654,0.627,0.598,0.736,0.66,0.621,0.981,1.042,1.009,0.99
0.5,0.2,0.895,0.9,0.897,0.897,0.761,0.832,0.795,0.785,0.85,0.924,0.886,0.875
0.5,0.3,0.792,0.86,0.825,0.817,0.744,0.76,0.752,0.749,0.939,0.884,0.912,0.917
0.5,0.4,0.759,0.782,0.77,0.767,0.7,0.76,0.729,0.717,0.922,0.972,0.946,0.935
0.5,0.5,0.719,0.764,0.741,0.733,0.681,0.754,0.715,0.7,0.946,0.987,0.965,0.955
0.5,0.6,0.649,0.806,0.719,0.685,0.646,0.746,0.693,0.669,0.996,0.926,0.963,0.977
0.5,0.7,0.706,0.658,0.681,0.692,0.656,0.774,0.71,0.684,0.929,1.176,1.042,0.988
0.5,0.8,0.655,0.742,0.696,0.676,0.614,0.796,0.693,0.648,0.937,1.073,0.996,0.959
1.0,0.2,0.994,0.994,0.994,0.994,0.936,0.968,0.952,0.951,0.942,0.974,0.958,0.957
1.0,0.3,0.957,0.972,0.964,0.964,0.882,0.942,0.911,0.908,0.922,0.969,0.945,0.942
1.0,0.4,0.843,0.916,0.878,0.873,0.821,0.852,0.836,0.833,0.973,0.93,0.952,0.954
1.0,0.5,0.825,0.884,0.853,0.848,0.76,0.87,0.812,0.798,0.922,0.984,0.951,0.941
