method,cluster_distance,cluster_std,simple_precision,simple_recall,simple_f1,simple_accuracy,extended_precision,extended_recall,extended_f1,extended_accuracy,precision_ratio,recall_ratio,f1_ratio,accuracy_ratio
SOM,0.0,0.2,0.5057251908396947,0.53,0.517578125,0.506,0.4787018255578093,0.472,0.47532729103726085,0.479,0.9465651192161965,0.890566037735849,0.9183682000418021,0.9466403162055336
K-Means (Exclusive),0.0,0.2,0.459958932238193,0.448,0.45390070921985815,0.461,0.4961089494163424,0.51,0.5029585798816568,0.496,1.0785940105614231,1.1383928571428572,1.1080806213017753,1.0759219088937093
DBSCAN (Density),0.0,0.2,0.23076923076923078,0.006,0.011695906432748537,0.493,0.5,1.0,0.6666666666666666,0.5,2.1666666666666665,166.66666666666666,57.0,1.0141987829614605
Agglomerative (Hierarchical),0.0,0.2,0.540268456375839,0.322,0.40350877192982454,0.524,0.5132075471698113,0.272,0.35555555555555557,0.507,0.9499121059416382,0.84472049689441,0.8811594202898552,0.9675572519083969
GMM (Probabilistic),0.0,0.2,0.4636752136752137,0.434,0.44834710743801653,0.466,0.49317738791423,0.506,0.49950641658440276,0.493,1.0636268089578784,1.1658986175115207,1.1141064775430918,1.05793991416309
SOM,0.0,0.30000000000000004,0.5181818181818182,0.57,0.5428571428571428,0.52,0.5094736842105263,0.484,0.49641025641025643,0.509,0.9831948291782087,0.849122807017544,0.9144399460188934,0.9788461538461538
K-Means (Exclusive),0.0,0.30000000000000004,0.48295454545454547,0.51,0.4961089494163424,0.482,0.503921568627451,0.514,0.5089108910891089,0.504,1.0434140715109572,1.007843137254902,1.0258046981168705,1.045643153526971
DBSCAN (Density),0.0,0.30000000000000004,0.5,0.014,0.027237354085603113,0.5,0.49949545913218973,0.99,0.6639839034205232,0.499,0.9989909182643795,70.71428571428571,24.377694739867778,0.998
Agglomerative (Hierarchical),0.0,0.30000000000000004,0.4780701754385965,0.436,0.4560669456066946,0.48,0.4966216216216216,0.294,0.3693467336683417,0.498,1.0388048599057773,0.6743119266055045,0.8098520123553546,1.0375
GMM (Probabilistic),0.0,0.30000000000000004,0.48007246376811596,0.53,0.5038022813688213,0.478,0.5028571428571429,0.528,0.5151219512195122,0.503,1.0474609164420485,0.9962264150943396,1.0224684767602392,1.0523012552301256
SOM,0.0,0.4000000000000001,0.49645390070921985,0.42,0.4550379198266522,0.497,0.49803149606299213,0.506,0.501984126984127,0.498,1.003177727784027,1.204761904761905,1.1031698790627362,1.0020120724346075
