cluster,merged
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,15
16,15
17,15
18,15
19,15
20,20
21,1
22,1
23,1
24,1
25,1
27,1
28,1
30,1
31,1
32,1
33,1
34,1
35,1
36,1
37,1
38,1
39,15
40,15
41,15
42,15
43,20
44,20
45,1
46,1
47,1
48,1
49,1
50,1
51,1
52,1
53,1
54,1
55,1
56,1
57,1
58,1
59,1
60,1
61,1
62,1
63,1
64,15
65,15
66,1
67,1
68,1
69,1
70,20
71,1
72,20
74,1
75,1
76,1
77,1
78,1
79,1
80,1
81,1
82,1
83,1
84,1
85,1
86,1
87,1
88,1
89,1
90,1
91,1
92,1
93,1
94,15
95,1
96,15
97,15
98,1
99,1
100,1
101,1
102,1
103,1
104,1
105,1
106,20
107,15
108,1
109,1
110,1
111,1
112,1
113,1
114,1
115,1
116,1
117,1
118,20
119,1
120,1
121,1
122,1
123,1
124,1
125,15
126,1
127,1
128,1
129,1
130,15
131,15
132,15
133,1
134,1
135,1
136,1
137,1
138,1
139,15
140,1
141,1
142,1
143,15
144,1
145,1
146,15
148,1
149,15
150,15
151,1
152,15
153,153
154,153
155,15
156,15
157,15
158,15
159,1
161,15
162,1
164,15
166,1
167,1
168,1
169,15
170,15
171,1
172,15
173,15
174,15
175,1
176,1
177,15
178,1
179,15
180,15
181,15
182,15
183,15
184,15
185,15
186,15
188,15
189,15
190,15
191,1
192,1
193,15
194,1
195,15
196,1
197,15
198,15
199,15
200,1
201,15
202,153
203,1
204,1
205,15
206,15
207,15
208,15
209,15
210,153
211,15
213,15
214,15
215,15
216,15
217,1
218,1
219,15
220,15
221,15
222,1
223,15
224,20
225,153
226,1
227,227
229,15
230,1
231,1
233,1
234,153
235,153
236,153
237,153
238,15
239,15
240,15
241,15
242,15
243,227
244,1
245,1
246,1
247,247
248,1
249,15
250,1
251,1
252,1
253,1
255,1
256,1
257,1
259,1
260,15
261,1
262,15
263,15
264,15
265,15
266,1
267,15
268,1
269,1
270,1
271,1
272,1
273,15
274,1
275,1
276,1
277,1
278,1
279,1
280,1
281,1
282,1
283,1
284,1
285,15
286,1
287,153
289,15
290,15
291,15
292,15
293,1
294,15
295,15
296,15
297,1
298,1
299,1
300,15
301,15
302,1
303,1
304,1
305,1
306,1
307,1
309,15
310,1
311,1
312,1
313,15
314,15
315,1
316,15
317,20
318,20
319,153
320,247
321,15
322,153
323,20
324,15
325,1
326,1
327,1
328,1
329,1
330,1
331,1
332,1
333,1
334,1
335,153
336,1
337,1
338,1
339,1
340,15
341,15
342,15
343,20
344,1
345,227
346,1
347,1
348,15
349,1
350,1
351,1
352,1
353,1
356,1
357,1
358,1
360,1
361,20
363,15
364,20
366,1
367,15
368,15
369,15
370,1
371,15
372,1
373,15
374,20
375,1
376,15
377,1
378,1
380,15
382,1
383,1
385,1
386,1
388,1
389,15
390,15
391,20
392,1
393,1
394,1
396,1
397,1
398,15
399,15
400,1
402,1
403,1
405,15
407,1
408,1
409,1
410,1
411,1
412,1
413,1
414,1
415,1
416,20
417,1
418,1
419,1
420,1
421,1
423,1
424,15
425,1
428,1
429,15
430,15
431,1
432,1
433,1
434,1
435,1
436,1
438,1
441,1
442,1
443,1
444,1
445,20
446,1
447,1
448,15
449,15
450,15
451,1
454,20
455,20
456,1
458,1
459,1
460,1
461,1
462,1
463,1
464,1
465,1
467,1
469,1
470,20
471,1
473,153
474,1
475,15
477,1
478,1
479,1
480,1
481,1
482,1
483,1
484,1
485,1
486,1
489,1
492,1
495,1
496,1
497,247
498,15
499,15
500,1
501,15
503,1
504,1
505,1
509,1
510,1
511,1
512,1
514,1
517,1
518,1
519,1
521,153
522,153
523,153
524,15
525,1
526,15
527,1
528,1
529,1
531,1
532,1
533,1
534,1
535,1
536,1
537,1
538,1
539,1
540,1
541,1
542,1
544,1
545,1
546,1
547,1
548,1
549,1
550,1
551,15
552,20
553,1
554,1
556,1
557,1
558,1
561,1
562,1
563,1
564,1
565,1
566,1
567,1
568,1
569,15
570,1
571,153
572,15
573,1
574,1
575,1
576,15
577,1
578,1
579,1
580,1
582,1
584,1
586,1
587,1
588,1
589,1
591,1
592,1
593,1
594,247
595,15
596,15
597,15
598,1
599,1
600,1
601,1
602,1
603,1
604,1
605,1
606,1
607,227
608,1
609,1
610,1
612,1
613,1
614,1
615,1
616,1
617,1
618,1
619,15
620,15
621,1
622,153
623,1
624,1
625,1
