cluster,merged
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,8
9,9
10,10
11,1
12,9
13,1
14,1
15,9
16,9
17,1
18,10
19,9
20,1
21,1
22,1
23,1
24,10
25,1
26,1
27,1
28,1
29,1
30,1
31,1
33,1
34,10
36,1
38,1
39,1
40,1
41,1
42,1
43,1
44,9
47,1
48,1
49,9
50,1
51,1
52,1
55,9
56,1
57,1
58,10
59,9
60,1
61,1
62,1
64,1
65,1
66,1
67,1
68,1
69,1
70,1
71,1
72,1
73,1
74,1
75,9
76,1
77,1
78,9
79,1
80,1
82,1
83,1
85,1
86,1
87,1
88,1
90,9
91,9
92,8
94,1
95,9
96,1
97,1
98,98
99,1
100,9
101,1
102,1
103,1
104,1
105,9
106,1
109,1
110,1
111,1
112,1
113,1
114,1
116,9
118,9
119,9
120,9
121,1
122,9
123,9
124,9
125,10
126,1
127,1
128,1
129,1
130,1
131,1
132,1
133,1
134,1
136,1
137,1
138,1
139,1
140,9
141,9
142,9
143,9
144,9
145,9
147,1
148,8
149,9
150,1
151,1
152,1
153,1
154,9
155,9
156,1
157,9
158,1
159,1
160,9
163,1
164,1
165,9
167,9
168,9
169,9
170,9
171,9
172,1
174,1
175,1
176,1
177,1
178,1
179,9
180,1
184,1
187,9
190,9
191,9
192,9
193,9
194,9
195,9
196,1
197,1
198,1
199,1
200,1
201,1
202,1
203,1
204,9
205,9
207,1
208,1
210,1
212,1
213,9
214,9
215,1
216,9
217,9
218,9
219,9
220,9
221,1
222,1
223,1
224,1
225,1
226,9
227,9
228,1
229,1
230,9
231,1
232,1
233,1
234,1
235,1
236,1
237,1
238,1
241,9
242,9
244,1
245,8
247,10
248,9
249,9
250,1
251,1
252,9
253,9
254,1
255,1
256,9
257,9
258,1
261,1
264,9
265,9
267,9
268,9
270,9
271,9
272,1
273,1
274,9
275,9
276,9
277,9
278,9
279,9
280,9
281,1
282,1
283,9
284,1
285,1
287,1
288,1
289,9
290,9
291,9
292,9
293,9
294,1
295,1
296,1
297,8
298,1
299,9
300,10
301,9
302,9
303,9
304,9
305,1
306,1
307,1
308,1
309,1
310,9
311,1
312,1
313,9
314,9
315,9
316,9
317,9
318,9
320,1
321,1
322,9
323,9
324,9
325,9
326,9
327,9
328,9
329,9
330,9
331,1
332,98
333,9
334,9
335,10
337,9
338,1
339,9
340,9
341,9
342,9
343,1
344,1
345,1
346,1
348,1
349,9
350,9
351,9
352,9
353,9
354,9
355,9
356,8
357,10
358,9
359,1
360,9
361,1
363,1
364,1
365,1
366,1
367,1
368,1
369,1
370,1
371,1
372,1
373,1
374,1
375,1
376,9
377,9
378,9
379,9
380,1
381,9
382,9
383,9
384,1
385,9
386,9
387,1
388,1
389,9
390,9
391,1
392,9
393,1
394,1
395,1
396,1
397,1
398,1
399,1
400,1
401,9
402,9
403,9
405,9
407,1
408,1
409,9
410,1
411,1
412,1
413,9
414,9
415,9
416,9
417,9
418,1
419,1
420,1
421,1
424,9
425,9
426,9
427,9
428,9
429,9
430,9
431,9
432,1
433,1
434,1
435,1
436,1
437,1
438,1
439,9
440,9
441,9
443,1
444,1
445,1
446,1
448,9
449,1
450,1
451,9
452,9
453,9
454,9
455,9
456,9
457,9
458,1
459,1
460,1
461,1
462,9
463,1
464,1
465,9
466,1
467,1
468,1
469,1
470,1
471,1
472,9
473,1
474,10
475,1
476,9
477,9
478,1
479,9
480,9
481,1
482,8
483,1
484,9
485,1
486,1
487,1
488,1
489,1
490,1
491,1
492,1
493,1
494,1
495,1
496,1
499,1
500,9
501,1
502,1
503,1
504,9
505,9
506,9
507,1
508,1
509,1
510,1
511,1
512,1
513,1
514,1
515,1
516,1
517,1
518,1
519,1
521,1
522,1
524,10
525,9
526,1
527,1
528,1
529,9
530,1
531,9
532,1
533,1
534,1
535,1
536,1
537,1
538,1
539,1
540,1
541,1
542,1
544,1
545,1
546,1
548,1
549,9
550,9
551,1
552,1
553,1
554,9
555,1
556,9
557,1
558,1
559,1
560,1
561,1
562,1
563,563
564,1
565,1
566,1
567,1
568,1
569,1
570,1
571,1
573,9
574,9
575,1
576,1
577,1
578,9
579,9
580,9
581,9
582,1
583,1
584,9
585,1
586,1
588,1
589,1
590,1
591,1
592,1
593,1
594,1
595,1
596,1
598,1
599,1
600,9
601,1
603,9
604,9
605,9
606,1
607,9
609,98
610,8
611,1
612,1
613,9
614,10
615,1
616,1
617,1
618,1
619,8
620,1
621,9
622,10
623,1
624,9
625,1
