cluster_distance,cluster_std,simple_precision,simple_recall,simple_f1,simple_accuracy,extended_precision,extended_recall,extended_f1,extended_accuracy,precision_ratio,recall_ratio,f1_ratio,accuracy_ratio
0.0,0.2,0.598,0.724,0.655,0.619,0.591,0.754,0.663,0.616,0.988,1.041,1.011,0.995
0.0,0.3,0.613,0.7,0.654,0.629,0.602,0.594,0.598,0.601,0.983,0.849,0.915,0.955
0.0,0.4,0.632,0.676,0.653,0.641,0.627,0.652,0.639,0.632,0.992,0.964,0.979,0.986
0.0,0.5,0.618,0.672,0.644,0.628,0.61,0.666,0.637,0.62,0.987,0.991,0.989,0.987
0.0,0.6,0.598,0.74,0.661,0.621,0.604,0.71,0.653,0.622,1.01,0.959,0.987,1.002
0.0,0.7,0.623,0.654,0.638,0.629,0.603,0.704,0.649,0.62,0.968,1.076,1.018,0.986
0.0,0.8,0.624,0.626,0.625,0.624,0.625,0.654,0.639,0.631,1.003,1.045,1.023,1.011
0.5,0.2,0.884,0.934,0.909,0.906,0.819,0.726,0.77,0.783,0.926,0.777,0.847,0.864
0.5,0.3,0.778,0.89,0.83,0.818,0.734,0.738,0.736,0.735,0.943,0.829,0.886,0.899
0.5,0.4,0.738,0.818,0.776,0.764,0.696,0.766,0.73,0.716,0.943,0.936,0.94,0.937
0.5,0.5,0.703,0.78,0.739,0.725,0.693,0.686,0.689,0.691,0.986,0.879,0.933,0.953
0.5,0.6,0.694,0.726,0.71,0.703,0.642,0.76,0.696,0.668,0.925,1.047,0.981,0.95
0.5,0.7,0.671,0.748,0.708,0.691,0.65,0.742,0.693,0.671,0.968,0.992,0.979,0.971
0.5,0.8,0.652,0.738,0.692,0.672,0.648,0.756,0.698,0.673,0.995,1.024,1.008,1.001
1.0,0.2,0.998,0.994,0.996,0.996,0.908,0.95,0.929,0.927,0.91,0.956,0.932,0.931
1.0,0.3,0.934,0.966,0.95,0.949,0.862,0.936,0.897,0.893,0.923,0.969,0.945,0.941
1.0,0.4,0.884,0.912,0.898,0.896,0.831,0.888,0.859,0.854,0.941,0.974,0.957,0.953
1.0,0.5,0.835,0.892,0.863,0.858,0.786,0.874,0.828,0.818,0.941,0.98,0.959,0.953
1.0,0.6,0.802,0.826,0.814,0.811,0.79,0.828,0.809,0.804,0.985,1.002,0.994,0.991
1.0,0.7,0.748,0.842,0.792,0.779,0.735,0.798,0.765,0.755,0.983,0.948,0.966,0.969
1.0,0.8,0.717,0.826,0.768,0.75,0.698,0.784,0.738,0.722,0.973,0.949,0.962,0.963
1.5,0.2,1.0,1.0,1.0,1.0,0.967,0.998,0.982,0.982,0.967,0.998,0.982,0.982
1.5,0.3,0.99,0.998,0.994,0.994,0.971,0.99,0.98,0.98,0.98,0.992,0.986,0.986
1.5,0.4,0.967,0.982,0.974,0.974,0.917,0.978,0.947,0.945,0.949,0.996,0.972,0.97
1.5,0.5,0.946,0.95,0.948,0.948,0.893,0.934,0.913,0.911,0.944,0.983,0.963,0.961
1.5,0.6,0.913,0.902,0.907,0.908,0.842,0.928,0.883,0.877,0.922,1.029,0.973,0.966
1.5,0.7,0.872,0.872,0.872,0.872,0.845,0.884,0.864,0.861,0.969,1.014,0.991,0.987
1.5,0.8,0.831,0.834,0.832,0.832,0.794,0.848,0.82,0.814,0.956,1.017,0.985,0.978
2.0,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2.0,0.3,1.0,1.0,1.0,1.0,1.0,0.994,0.997,0.997,1.0,0.994,0.997,0.997
2.0,0.4,0.994,1.0,0.997,0.997,0.984,0.988,0.986,0.986,0.99,0.988,0.989,0.989
2.0,0.5,0.974,0.986,0.98,0.98,0.953,0.982,0.967,0.967,0.979,0.996,0.987,0.987
2.0,0.6,0.939,0.982,0.96,0.959,0.939,0.948,0.943,0.943,1.0,0.965,0.983,0.983
2.0,0.7,0.921,0.928,0.924,0.924,0.882,0.942,0.911,0.908,0.958,1.015,0.986,0.983
2.0,0.8,0.904,0.926,0.915,0.914,0.877,0.916,0.896,0.894,0.97,0.989,0.98,0.978
2.5,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2.5,0.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2.5,0.4,1.0,1.0,1.0,1.0,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996
2.5,0.5,1.0,0.992,0.996,0.996,0.986,0.996,0.991,0.991,0.986,1.004,0.995,0.995
2.5,0.6,0.982,0.992,0.987,0.987,0.974,0.976,0.975,0.975,0.992,0.984,0.988,0.988
2.5,0.7,0.943,0.956,0.949,0.949,0.927,0.942,0.935,0.934,0.983,0.985,0.984,0.984
2.5,0.8,0.936,0.94,0.938,0.938,0.916,0.936,0.926,0.925,0.978,0.996,0.987,0.986
3.0,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3.0,0.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3.0,0.4,1.0,1.0,1.0,1.0,1.0,0.998,0.999,0.999,1.0,0.998,0.999,0.999
3.0,0.5,1.0,0.998,0.999,0.999,0.994,0.998,0.996,0.996,0.994,1.0,0.997,0.997
3.0,0.6,0.984,0.996,0.99,0.99,0.986,0.998,0.992,0.992,1.002,1.002,1.002,1.002
3.0,0.7,0.971,0.99,0.98,0.98,0.961,0.988,0.974,0.974,0.99,0.998,0.994,0.994
3.0,0.8,0.976,0.976,0.976,0.976,0.978,0.968,0.973,0.973,1.002,0.992,0.997,0.997
3.5,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3.5,0.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3.5,0.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3.5,0.5,1.0,1.0,1.0,1.0,0.998,1.0,0.999,0.999,0.998,1.0,0.999,0.999
